Project,URL,Language
Wikipedia,[https://en.wikipedia](https://en.wikipedia.org/wiki/Artificial_neural_network),inglês
Digital Trends,[https://www.digitalt](https://www.digitaltrends.com/cool-tech/what-is-an-artificial-neural-network/),inglês
Medium,[https://medium.com/t](https://medium.com/technology-invention-and-more/everything-you-need-to-know-about-artificial-neural-networks-57fac18245a1),inglês
Artificial Neural Networks Technology,[http://www.psych.uto](http://www.psych.utoronto.ca/users/reingold/courses/ai/cache/neural_ToC.html),inglês
Neural Networks and Deep Learning,[http://neuralnetwork](http://neuralnetworksanddeeplearning.com/index.html),inglês
Skymind,[https://skymind.ai/w](https://skymind.ai/wiki/neural-network),inglês
Tutorialspoint,[https://www.tutorial](https://www.tutorialspoint.com/artificial_intelligence/artificial_intelligence_neural_networks.htm),inglês
Analytics Vidhya,[https://www.analytic](https://www.analyticsvidhya.com/blog/2014/10/ann-work-simplified/),inglês
Neural Networks,[https://www.doc.ic.a](https://www.doc.ic.ac.uk/~nd/surprise_96/journal/vol4/cs11/report.html),inglês
Artificial Neural Networks Explained,[https://blog.goodaud](https://blog.goodaudience.com/artificial-neural-networks-explained-436fcf36e75),inglês
A Basic Introduction to Neural Networks,[http://pages.cs.wisc](http://pages.cs.wisc.edu/~bolo/shipyard/neural/local.html),inglês
Artificial Neural Network Nvidia,[https://developer.nv](https://developer.nvidia.com/discover/artificial-neural-network),inglês
Artificial Neural Networks Basics,[https://becominghuma](https://becominghuman.ai/artificial-neuron-networks-basics-introduction-to-neural-networks-3082f1dcca8c),inglês
"Artificial Intelligence, Deep Learning, and Neural Networks, Explained",[https://www.kdnugget](https://www.kdnuggets.com/2016/10/artificial-intelligence-deep-learning-neural-networks-explained.html),inglês
Training Artificial Neural Network,[https://www.solver.c](https://www.solver.com/training-artificial-neural-network-intro),inglês
Saed Sayad,[https://www.saedsaya](https://www.saedsayad.com/artificial_neural_network.htm),inglês
Artificial Neural Network : Beginning of the AI revolution,[https://hackernoon.c](https://hackernoon.com/artificial-neural-network-a843ff870338),inglês
Intro to ANN,[http://ulcar.uml.edu](http://ulcar.uml.edu/~iag/CS/Intro-to-ANN.html),inglês
Neural Networks Stanford,[https://cs.stanford.](https://cs.stanford.edu/people/eroberts/courses/soco/projects/neural-networks/),inglês
"Specifics of Artificial Neural Networks, from Algorithm to Applications",[https://www.programi](https://www.programiz.com/c-programming),inglês
Clever Algorithms,[http://www.cleveralg](http://www.cleveralgorithms.com/nature-inspired/neural.html),inglês
ANN Tutorialspoint,[https://www.tutorial](https://www.tutorialspoint.com/artificial_neural_network/),inglês
Neural Networks Tutorial,[http://adventuresinm](http://adventuresinmachinelearning.com/neural-networks-tutorial/),inglês
Guru99,[https://www.guru99.c](https://www.guru99.com/artificial-neural-network-tutorial.html),inglês
