Project,URL,Language
Awesome asm,[https://github.com/j](https://github.com/jaspergould/awesome-asm),EN
Wikipedia,[https://en.wikipedia](https://en.wikipedia.org/wiki/Assembly_language),EN
Tutorialspoint,[https://www.tutorial](https://www.tutorialspoint.com/assembly_programming/),EN
Assembly Programming,[https://homepage.cs.](https://homepage.cs.uiowa.edu/~ghosh/8-29-13.pdf),EN
Programming in Assembly Language,[https://bob.cs.sonom](https://bob.cs.sonoma.edu/IntroCompOrg-RPi/chp-asm.html),EN
Nayuki,[https://www.nayuki.i](https://www.nayuki.io/page/a-fundamental-introduction-to-x86-assembly-programming),EN
Assembly Programming,[https://www.freebsd.](https://www.freebsd.org/doc/en_US.ISO8859-1/books/developers-handbook/x86.html),EN
x86 Assembly Guide,[http://www.cs.virgin](http://www.cs.virginia.edu/~evans/cs216/guides/x86.html),EN
Easy x86-64,[https://ian.seyler.m](https://ian.seyler.me/easy_x86-64/),EN
Wikibooks,[https://en.wikibooks](https://en.wikibooks.org/wiki/X86_Assembly),EN
Assembly Beginners,[https://securityxplo](https://securityxploded.com/assembly-programming-beginners-guide.php),EN
Assembly Ubuntu,[http://www.egr.unlv.](http://www.egr.unlv.edu/~ed/x86.html),EN
x86 Assembly,[https://teambi0s.git](https://teambi0s.gitlab.io/bi0s-wiki/reversing/asm/),EN
MIPS Assembly,[https://www.cs.ucsb.](https://www.cs.ucsb.edu/~franklin/64/lectures/mipsassemblytutorial.pdf),EN
Assembly Programming,[http://www.peter-coc](http://www.peter-cockerell.net/aalp/html/frames.html),EN
IA-32 Assembly Programming,[http://www.cs.umd.ed](http://www.cs.umd.edu/~meesh/cmsc311/links/handouts/ia32.pdf),EN
The Art of Assembly Language,[https://www.ic.unica](https://www.ic.unicamp.br/~pannain/mc404/aulas/pdfs/Art%20Of%20Intel%20x86%20Assembly.pdf),EN
x86 Assembly,[https://www.engr.mun](https://www.engr.mun.ca/~anderson/teaching/8894/reference/x86-assembly/),EN
Introduction to MIPS,[https://cupola.getty](https://cupola.gettysburg.edu/cgi/viewcontent.cgi?article=1001&context=oer),EN
Assembly Atari Computers,[https://www.atariarc](https://www.atariarchives.org/alp/),EN
Assembly Language Programming,[http://www.ece.utep.](http://www.ece.utep.edu/courses/web3376/Notes_files/ee3376-assembly.pdf),EN
Assembly Mid-Range PIC,[http://cs.hadassah.a](http://cs.hadassah.ac.il/staff/martin/embedded/slide05-1.pdf),EN
Introduction to Assembly,[https://staffwww.ful](https://staffwww.fullcoll.edu/zding/fc241/f241.htm),EN
Elements of Assembly,[https://www.mikroe.c](https://www.mikroe.com/ebooks/architecture-and-programming-of-8051-mcus/elements-of-assembly-language),EN
Machine Language and Assembly,[https://www.eit.lth.](https://www.eit.lth.se/fileadmin/eit/courses/eit070/Laborationer/EIT070Lab03.pdf),EN
Assembly Programming,[http://support.techn](http://support.technologicalarts.ca/docs/NanoCore12/ThirdParty/HUANG-Chap02%20-%20HC12%20Assembler.pdf),EN
Assembly,[https://yurichev.com](https://yurichev.com/writings/UAL-EN.pdf),EN
Assembly of ATMEL-AVR,[http://www.cse.unsw.](http://www.cse.unsw.edu.au/~cs2121/AVR/AVR-Assembler-Tutorial.pdf),EN
PC Assembly Language,[http://www.scs.stanf](http://www.scs.stanford.edu/05au-cs240c/lab/pcasm-book.pdf),EN
Assembly Step by Step,[http://www.starocean](http://www.staroceans.org/kernel-and-driver/Assembly%20Language%20Step-By-Step%20-%20Programming%20with%20Linux%2C%203rd%20edition%20(Wiley%2C%202009%2C%200470497025).pdf),EN
ARM Book,[http://arantxa.ii.ua](http://arantxa.ii.uam.es/~gdrivera/sed/docs/ARMBook.pdf),EN
Guide to Assembly,[https://doc.lagout.o](https://doc.lagout.org/programmation/asm/Guide%20to%20Assembly%20Language%20Programming%20in%20Linux%20%5BDandamudi%202005-07-15%5D.pdf),EN
Computer Organization & Assembly Languages,[https://www.csie.ntu](https://www.csie.ntu.edu.tw/~pjcheng/course/asm2008/asm_ch1.pdf),EN
Assembly Programming,[https://www.utdallas](https://www.utdallas.edu/~dodge/EE2310/lec10.pdf),EN
Assembly for IBM System Servers,[http://idcp.marist.e](http://idcp.marist.edu/enterprisesystemseducation/Assembler%20Language%20Programming%20for%20IBM%20z%20System%20Servers.pdf),EN
Tiny Guide to Assembly,[https://www.cs.dartm](https://www.cs.dartmouth.edu/sergey/cs258/tiny-guide-to-x86-assembly.pdf),EN
Computer Architecture and Assembly Language,[https://www.cs.bgu.a](https://www.cs.bgu.ac.il/~caspl152/wiki.files/PS01_152[2].pdf),EN
Computer Organization & Assembly Language,[https://www.csee.umb](https://www.csee.umbc.edu/~chang/cs313/topics/Slides01.pdf),EN
Assembly for x86 Processors,[http://lms.uop.edu.j](http://lms.uop.edu.jo/lms/pluginfile.php/2420/mod_resource/content/1/assembly_language_for_x86_processors.pdf),EN
Assembly Reference,[https://docs.oracle.](https://docs.oracle.com/cd/E19253-01/817-5477/817-5477.pdf),EN
Introduction to ARM Assembly,[https://azeria-labs.](https://azeria-labs.com/writing-arm-assembly-part-1/),EN
Learn Assembly Language,[http://asmtutor.com/](http://asmtutor.com/),EN
MIPS Overview,[http://logos.cs.uic.](http://logos.cs.uic.edu/366/notes/mips%20quick%20tutorial.htm),EN
x86 Assembly Tutorial,[http://www.hep.wisc.](http://www.hep.wisc.edu/~pinghc/x86AssmTutorial.htm),EN
Assembly Language,[https://os.mbed.com/](https://os.mbed.com/cookbook/Assembly-Language),EN
Assemnly in One Step,[https://dwheeler.com](https://dwheeler.com/6502/oneelkruns/asm1step.html),EN
"C++, C and Assembly Tutorials",[http://www.kegel.com](http://www.kegel.com/academy/tutorials.html),EN
Win32 Assembly,[http://win32assembly](http://win32assembly.programminghorizon.com/tutorials.html),EN
x86 Assembly for the PC,[http://spot.pcc.edu/](http://spot.pcc.edu/~wlara/asmx86/),EN
Assembly Tutorial,[https://wiki.skullse](https://wiki.skullsecurity.org/Assembly),EN
Assembly Raspberry Pi,[http://www.science.s](http://www.science.smith.edu/dftwiki/index.php/Tutorial:_Assembly_Language_with_the_Raspberry_Pi),EN
Assembly Tutorial,[http://programmedles](http://programmedlessons.org/AssemblyTutorial/),EN
Assembly Links,[https://www.csie.ntu](https://www.csie.ntu.edu.tw/~cyy/courses/assembly/08fall/links/),EN
MASM and Visual Studio,[http://kipirvine.com](http://kipirvine.com/asm/gettingstartedvs2015/index.htm),EN
Assembly Guide,[https://ocw.cs.pub.r](https://ocw.cs.pub.ro/courses/cns/labs/lab-02),EN
Intro to x86 Assembly,[https://www.youtube.](https://www.youtube.com/watch?v=wLXIWKUWpSs&list=PLmxT2pVYo5LB5EzTPZGfFN0c2GDiSXgQe),EN
Assembly for Hackers,[https://www.youtube.](https://www.youtube.com/watch?v=K0g-twyhmQ4&list=PLue5IPmkmZ-P1pDbF3vSQtuNquX0SZHpB),EN
Derek Banas,[https://www.youtube.](https://www.youtube.com/watch?v=ViNnfoE56V8&list=PLGLfVvz_LVvQu9IwUcpn8KOZsOvoHx8sU),EN
MIPS 1,[https://www.youtube.](https://www.youtube.com/watch?v=PlavjNH_RRU&list=PLylNWPMX1lPlmEeeMdbEFQo20eHAJL8hx),EN
MIPS 2,[https://www.youtube.](https://www.youtube.com/watch?v=qzSdglU0SBc&list=PLylNWPMX1lPnipZzKdCWRj2-un5xvLLdK),EN
MIT 6.004 Assembly,[https://www.youtube.](https://www.youtube.com/watch?v=LbptX5Ac74s),EN
Assembly Intro,[https://www.youtube.](https://www.youtube.com/watch?v=xOm_jOeip_c),EN
Intro to Assembly,[https://www.youtube.](https://www.youtube.com/watch?v=H4Z0S9ZbC0g&list=PL6y3-kASCE338MJ1tIGF-qmuGQqZMWUMz),EN
Programación en Ensamblador,[https://www.exabytei](https://www.exabyteinformatica.com/uoc/Informatica/Estructura_de_computadores/Estructura_de_computadores_(Modulo_6).pdf),ES
Instrucciones en Ensamblador,[http://www.sc.ehu.es](http://www.sc.ehu.es/sbweb/webcentro/automatica/web_8051/Contenido/set_8051/set8051.htm),ES
El Ensamblador,[https://upcommons.up](https://upcommons.upc.edu/bitstream/handle/2117/115067/asm.pdf),ES
Assembler Simulator,[https://schweigi.git](https://schweigi.github.io/assembler-simulator/),EN
Programación en Ensamblador,[http://www.dacya.ucm](http://www.dacya.ucm.es/hidalgo/estructura/ensamblador.pdf),ES
Programación en Assembler,[http://curso-cm.spec](http://curso-cm.speccy.org/fr_cap4.html),ES
