Project,URL,Language
Microsoft,[https://azure.micros](https://azure.microsoft.com/en-us/overview/what-is-cloud-computing/),EN
Wikipedia,[https://en.wikipedia](https://en.wikipedia.org/wiki/Cloud_computing),EN
Amazon,[https://aws.amazon.c](https://aws.amazon.com/what-is-cloud-computing/),EN
IBM,[https://www.ibm.com/](https://www.ibm.com/cloud/learn/what-is-cloud-computing),EN
Redhat,[https://www.redhat.c](https://www.redhat.com/en/topics/cloud),EN
Guru 99,[https://www.guru99.c](https://www.guru99.com/cloud-computing-for-beginners.html),EN
Tutorialspoint,[https://www.tutorial](https://www.tutorialspoint.com/cloud_computing/),EN
Javatpoint,[https://www.javatpoi](https://www.javatpoint.com/cloud-computing-tutorial),EN
Simplilearn,[https://www.simplile](https://www.simplilearn.com/cloud-computing-tutorial-video),EN
The Cloud Tutorial,[http://thecloudtutor](http://thecloudtutorial.com/),EN
W3schools.in,[https://www.w3school](https://www.w3schools.in/cloud-computing/cloud-computing/),EN
Amazon AWS Tutorial,[https://www.edureka.](https://www.edureka.co/blog/amazon-aws-tutorial/),EN
Tutorialride,[https://www.tutorial](https://www.tutorialride.com/cloud-computing/cloud-computing-tutorial.htm),EN
Cloud Computing for Beginners,[https://www.eduonix.](https://www.eduonix.com/courses/Software-Development/Learn-Cloud-Computing-from-Scratch-for-Beginners),EN
Cloud Computing Overview,[https://www.thbs.com](https://www.thbs.com/downloads/Cloud-Computing-Overview.pdf),EN
The Basics of Cloud Computing,[https://www.us-cert.](https://www.us-cert.gov/sites/default/files/publications/CloudComputingHuthCebula.pdf),EN
Introduction to Cloud Computing,[https://www.kth.se/s](https://www.kth.se/social/files/554fa451f276544829be2e5e/9-cloud-computing.pdf),EN
Cloud for Dummies,[https://www.ibm.com/](https://www.ibm.com/cloud-computing/files/cloud-for-dummies.pdf),EN
Cloud Computing Concepts,[http://www.secc.org.](http://www.secc.org.eg/RECOCAPE/SECC_Tutorials_An%20Introduction%20to%20Cloud%20Computing%20Concepts.pdf),EN
Cloud Computing Final Report,[https://www.cse.iitb](https://www.cse.iitb.ac.in/~abhirup09/Docs/cloud_computing_final_report.pdf),EN
Cloud Computing Models,[https://web.mit.edu/](https://web.mit.edu/smadnick/www/wp/2013-01.pdf),EN
Intro to Cloud Computing,[https://www.sanog.or](https://www.sanog.org/resources/sanog26/SANOG26_Tutorial%20-%20Introduction_Cloud_Computing_Sreenath.pdf),EN
Virtualization and Cloud Computing,[https://www.intel.co](https://www.intel.com/content/dam/www/public/us/en/documents/guides/cloud-computing-virtualization-building-private-iaas-guide.pdf),EN
Cloud Computing Guidelines,[http://www.motc.gov.](http://www.motc.gov.qa/sites/default/files/cloud_computing_ebook.pdf),EN
Cloud Computing Risks,[https://www.experis.](https://www.experis.us/Website-File-Pile/Articles/Experis/FIN_Cloud-Computing-Risks_071111.pdf),EN
A Berkeley View of Cloud Computing,[https://www2.eecs.be](https://www2.eecs.berkeley.edu/Pubs/TechRpts/2009/EECS-2009-28.pdf),EN
Privacy in Cloud Computing,[https://www.itu.int/](https://www.itu.int/dms_pub/itu-t/oth/23/01/T23010000160001PDFE.pdf),EN
Cloud Computing Explained,[https://www.youtube.](https://www.youtube.com/watch?v=QJncFirhjPg),EN
Edureka Tutorial,[https://www.youtube.](https://www.youtube.com/watch?v=kQnNd-DyrpA),EN
Eli the Computer Guy,[https://www.youtube.](https://www.youtube.com/watch?v=QYzJl0Zrc4M),EN
Computação em Nuvem UFRJ,[https://www.gta.ufrj](https://www.gta.ufrj.br/ensino/eel879/trabalhos_vf_2009_2/seabra/introducao.html),PT
O Que é Cloud Computing,[https://rockcontent.](https://rockcontent.com/blog/cloud-computing/),PT
Profissionais TI,[https://www.profissi](https://www.profissionaisti.com.br/computacao-em-nuvem/),PT
"Conceitos, Tecnologias e Desafios",[https://www.research](https://www.researchgate.net/profile/Javam_Machado/publication/237644729_Computacao_em_Nuvem_Conceitos_Tecnologias_Aplicacoes_e_Desafios/links/56044f4308aea25fce3121f3/Computacao-em-Nuvem-Conceitos-Tecnologias-Aplicacoes-e-Desafios.pdf),PT
Computação em Nuvem Artigo,[http://periodicos.uf](http://periodicos.ufes.br/BJPE/article/viewFile/EO02_2016/pdf),PT
Computação em Nuvem,[http://livroaberto.i](http://livroaberto.ibict.br/bitstream/1/861/1/COMPUTA%C3%87%C3%83O%20EM%20NUVEM.pdf),PT
Introdução a Computação em Nuvem,[http://www.each.usp.](http://www.each.usp.br/dc/aulas/ComputacaoEmNuvem-DanielCordeiro.pdf),PT
Computação em Nuvem PUC-PR,[https://www.ppgia.pu](https://www.ppgia.pucpr.br/~jamhour/RSS/TCCRSS08B/Welton%20Costa%20da%20Mota%20-%20Artigo.pdf),PT
"Conceitos, Tendências e Aplicações",[https://eventos.unip](https://eventos.unipampa.edu.br/tchelinux2010/files/2010/12/TcheLinux2010_DiegoKreutz_Cloud_Computing.pdf),PT
Introdução à Computação na Nuvem,[http://www-di.inf.pu](http://www-di.inf.puc-rio.br/~endler/courses/Cloud/Intro.pdf),PT
Desmistificando a Computação em Nuvem,[http://www.lbd.dcc.u](http://www.lbd.dcc.ufmg.br/colecoes/erad-rs/2015/002.pdf),PT
Computação em Nuvem,[https://www.verup.co](https://www.verup.com.br/lp-cloud/%5beBook%5dVerup-computacao-em-nuvem.pdf),PT
Infraestrutura na Nuvem,[https://www.advanced](https://www.advancedit.com.br/wp-content/uploads/2018/04/ebook_infra_na_nuvem_advancedit.pdf),PT
Computação em Nuvem e Governança,[https://www.publicac](https://www.publicacoesacademicas.uniceub.br/gti/article/viewFile/4207/3613),PT
Deloitte,[https://www2.deloitt](https://www2.deloitte.com/es/es/pages/technology/articles/computacion-nube-hibrida.html),ES
Qué es Cloud Computing,[https://www.xertica.](https://www.xertica.com/computacion-en-la-nube-definicion-ejemplos-y-usos-practicos/),ES
Computación en la nube,[https://cibernat.com](https://cibernat.com/articulos/computacion-en-la-nube),ES
Okhosting,[https://okhosting.co](https://okhosting.com/blog/computacion-en-la-nube/),ES
Computación en la nube,[http://www.imaginar.](http://www.imaginar.org/iicd/fichas/05_Cloud_computing.pdf),ES
El Avance de la Computación en la Nube,[https://www.cepal.or](https://www.cepal.org/socinfo/noticias/paginas/3/44733/newsletter19.pdf),ES
Informática en la Nube,[http://www.bizkaia.e](http://www.bizkaia.eus/home2/archivos/DPTO4/Temas/Informatica%20en%20la%20nube.pdf),ES
Cloud Computing,[http://www.huesca.es](http://www.huesca.es/_archivos/ficheros/bibliotecas_2651.pdf),ES
Computación en la nube con Google Drive,[http://cimogsys.espo](http://cimogsys.espoch.edu.ec/direccion-publicaciones/public/pdf/27/computaci%C3%B3n%20en%20la%20nube.pdf),ES
Universidad Nacional del Nordeste,[http://exa.unne.edu.](http://exa.unne.edu.ar/informatica/SO/primorac_monografia_computacion_en_nube.pdf),ES
Universidad de Almería,[http://www.adminso.e](http://www.adminso.es/recursos/Proyectos/PFM/2011_12/PFM_cloud_beka.pdf),ES
Guia Cloud Computing,[https://www.incibe.e](https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia-cloud-computing_0.pdf),ES
Cloud Computing y El Futuro de la Productividad,[https://fch.cl/wp-co](https://fch.cl/wp-content/uploads/2016/09/chile4.0_cloud_computing_y_el_futuro_de_la_productividad.pdf),ES
