Project,URL,Language
Computer Architecture,[https://en.wikipedia](https://en.wikipedia.org/wiki/Computer_architecture),EN
CIS 501,[https://www.cis.upen](https://www.cis.upenn.edu/~milom/cis501-Fall11/lectures/00_intro.pdf),EN
CS301 Computer Architecture,[https://learn.saylor](https://learn.saylor.org/course/view.php?id=71),EN
Introduction to Computer Architecture,[http://people.cs.ksu](http://people.cs.ksu.edu/~schmidt/300s05/Lectures/ArchNotes/arch.html),EN
Basic Computer Architecture,[https://www.phy.ornl](https://www.phy.ornl.gov/csep/ca/node2.html),EN
Geeks for Geeks,[https://www.geeksfor](https://www.geeksforgeeks.org/computer-organization-and-architecture-tutorials/),EN
Wikiversity,[https://en.wikiversi](https://en.wikiversity.org/wiki/Computer_architecture),EN
Study of Computer Architecture,[https://courses.cs.w](https://courses.cs.washington.edu/courses/cse378/06sp/lectures/lecture1.pdf),EN
CS 3810,[https://www.youtube.](https://www.youtube.com/playlist?list=PLm7BxCUdWqZzjZ-jRe73KUfj2GsSS2FPy),EN
Computer Architecture Course,[https://www.studyton](https://www.studytonight.com/computer-architecture/),EN
Hardware/Software Interface,[https://www.youtube.](https://www.youtube.com/watch?v=2JS6EXdqi5M&list=PL0oekSefhQVJdk0hSRu6sZ2teWM740NtL),EN
Von Neumann Architecture - Computerphile,[https://www.youtube.](https://www.youtube.com/watch?v=Ml3-kVYLNr8),EN
Carnegie Mellon - Spring 2015,[https://www.youtube.](https://www.youtube.com/watch?v=zLP_X4wyHbY&list=PL5PHm2jkkXmi5CxxI7b3JCL1TWybTDtKq),EN
CS 224,[https://www.youtube.](https://www.youtube.com/watch?v=CDO28Esqmcg&list=PLhwVAYxlh5dvB1MkZrcRZy6x_a2yORNAu),EN
Computer Organization & Architecture,[https://www.youtube.](https://www.youtube.com/watch?v=h4prlOPOpNQ&list=PLgBlB7BVKQmg__8dTZOkHBSj4WDRgZ4vX),EN
IIT Madras,[https://www.youtube.](https://www.youtube.com/watch?v=leWKvuZVUE8&list=PL618BCCBE114511B3),EN
MIT 6.004,[https://www.youtube.](https://www.youtube.com/watch?v=9DWlqtsNGV0&list=PLMF2PpA06Sb2CcgshzLYsZJcevBZ-ZNt3),EN
How a CPU Works,[https://www.youtube.](https://www.youtube.com/watch?v=cNN_tTXABUA),EN
Fundamentals of Computer Organization and Architecture,[https://pdfs.semanti](https://pdfs.semanticscholar.org/4bd9/9622f8f83e80c8145dda5852b9a3e8ab3d4a.pdf),EN
Basic Computer Architecture,[https://cse.unl.edu/](https://cse.unl.edu/~witty/class/embedded/material/note/architecture.pdf),EN
Modern Computer Architecture,[http://www.engr.colo](http://www.engr.colostate.edu/ECE251/Lectures/Lecture27connors.pdf),EN
Computer Architecture A Quantitative Approach,[http://www.iuma.ulpg](http://www.iuma.ulpgc.es/~nunez/clases-micros-para-com/clases-mpc-slides-links/Copy%20of%20(Ebook%20Pdf)%20Computer%20Architecture%20A%20Quantitative%20App.pdf),EN
Computer Architecture I,[http://www.it.uu.se/](http://www.it.uu.se/edu/course/homepage/dark/ht11/dark1-1-welcome.pdf),EN
University of Oslo,[https://www.uio.no/s](https://www.uio.no/studier/emner/matnat/ifi/INF2270/v14/dokumenter/kompendium-inf2270.pdf),EN
Advanced Computer Architecture,[http://164.100.133.1](http://164.100.133.129:81/econtent/Uploads/Advanced_Computer_Architecture.pdf),EN
21 Century Comp Architecture,[https://cra.org/ccc/](https://cra.org/ccc/wp-content/uploads/sites/2/2015/05/21stcenturyarchitecturewhitepaper.pdf),EN
Vishnu Universal Learning,[http://www.svecw.edu](http://www.svecw.edu.in/Docs%5CITIIBTechIISemLecCOA.pdf),EN
ECE C61,[http://www.ece.north](http://www.ece.northwestern.edu/~kcoloma/ece361/lectures/Lec03-isa.pdf),EN
CS 2600,[http://www.cse.iitm.](http://www.cse.iitm.ac.in/~vplab/courses/comp_org/LEC_INTRO.pdf),EN
National Open University of Nigeria,[http://nouedu.net/si](http://nouedu.net/sites/default/files/2017-03/CIT309.pdf),EN
Advanced Computer Architecture,[https://cs.baylor.ed](https://cs.baylor.edu/~maurer/aida/courses/archintro.pdf),EN
Computer Organization and Architecture - Designing for Perfomance,[http://staff.ustc.ed](http://staff.ustc.edu.cn/~llxx/cod/reference_books_tools/Computer%20Organization%20and%20Architecture%2010th%20-%20William%20Stallings.pdf),EN
Stony Brook University,[https://compas.cs.st](https://compas.cs.stonybrook.edu/course/cse502-s13/lectures/cse502-L4-pipelining.pdf),EN
Computer Architecture,[http://www.ddegjust.](http://www.ddegjust.ac.in/studymaterial/mca-5/mca-204.pdf),EN
Introdução a Arquitetura de Computadores,[https://pt.wikibooks](https://pt.wikibooks.org/wiki/Introdu%C3%A7%C3%A3o_%C3%A0_Arquitetura_de_Computadores),PT
Introdução a Arquitetura de Computadores,[http://producao.virt](http://producao.virtual.ufpb.br/books/edusantana/introducao-a-arquitetura-de-computadores-livro/livro/livro.chunked/index.html),PT
Arquitetura de Computadores,[http://estudio01.pro](http://estudio01.proj.ufsm.br/cadernos/cafw/tecnico_informatica/arquitetura_computadores.pdf),PT
Introdução à Arquitetura de Computadores,[https://fenix.tecnic](https://fenix.tecnico.ulisboa.pt/disciplinas/IAC4/2013-2014/1-semestre/aulas-teoricas),PT
Organização e Arquitetura de Computadores II,[http://www.univasf.e](http://www.univasf.edu.br/~romulo.camara/novo/?page_id=168),PT
UFLA - Introdução,[http://professores.d](http://professores.dcc.ufla.br/~monserrat/icc/Introducao_arq_computador.pdf),PT
UFRJ - EEL 580,[https://www.gta.ufrj](https://www.gta.ufrj.br/ensino/EEL580/index.html),PT
Arquitetura de Computadores I,[https://inf.ufes.br/](https://inf.ufes.br/~alberto/arq_comp.html),PT
Arquitetura de Computadores a visão do software,[https://memoria.ifrn](https://memoria.ifrn.edu.br/bitstream/handle/1044/982/Arquitetura%20de%20Computadores%20-%20Ebook.pdf),PT
Organização e Arquitetura de Computadores,[http://redeetec.mec.](http://redeetec.mec.gov.br/images/stories/pdf/eixo_infor_comun/tec_inf/081112_org_arq_comp.pdf),PT
Arquitetura de um Computador,[https://fenix.tecnic](https://fenix.tecnico.ulisboa.pt/downloadFile/3779579950902/iac-02h.pdf),PT
Arquitetura de Computador,[http://www.jvasconce](http://www.jvasconcellos.com.br/unijorge/wp-content/uploads/2012/02/Arquitetura-de-Computadores.pdf),PT
Arquitetura de Computadores Fundamentos,[http://www.inf.ufg.b](http://www.inf.ufg.br/~fmc/arqcomp/Fundamentos1.pdf),PT
Arquitetura de Computadores Moderna,[http://www.ufjf.br/e](http://www.ufjf.br/eduardo_barrere/files/2013/03/Aula011.pdf),PT
Arquitectura de Computadoras,[http://www.aliat.org](http://www.aliat.org.mx/BibliotecasDigitales/sistemas/Arquitectura_computadoras_I.pdf),ES
Wikiwand,[http://www.wikiwand.](http://www.wikiwand.com/es/Arquitectura_de_computadoras#/Introducci%C3%B3n),ES
Arquitectura de Computadores,[http://www.dacya.ucm](http://www.dacya.ucm.es/hidalgo/arquitectura/tema1.pdf),ES
Programiz,[https://www.datsi.fi](https://www.datsi.fi.upm.es/docencia/Arquitectura_09/),ES
Arquitectura de Computadoras,[https://eva.fing.edu](https://eva.fing.edu.uy/course/view.php?id=195),ES
Disca,[http://personales.up](http://personales.upv.es/pabmitor/acso/FILES/ArqComp/CST/ArqComp%20t3.pdf),ES
Organización y arquitectura computacional,[http://edacunob.ult.](http://edacunob.ult.edu.cu/bitstream/123456789/37/1/Organizaci%C3%B3n%20y%20Arquitectura%20de%20computadoras.%20Un%20enfoque%20pr%C3%A1ctico.pdf),ES
CC 4301,[https://users.dcc.uc](https://users.dcc.uchile.cl/~jfabry/arq/arquitectura.pdf),ES
Fundamentos del Diseño de Computadores,[http://ocw.uc3m.es/i](http://ocw.uc3m.es/ingenieria-informatica/arquitectura-de-computadores/materiales/es-m1-01-fund-ocw.pdf),ES
Architecture des ordinateurs,[http://www.fil.univ-](http://www.fil.univ-lille1.fr/~wegrzyno/portail/Info/Doc/HTML/seq8_architecture.html),FR
Architecture des Ordinateurs,[http://dept-info.lab](http://dept-info.labri.fr/ENSEIGNEMENT/archi/cours/archi.pdf),FR
L'architecture de base,[https://fr.wikibooks](https://fr.wikibooks.org/wiki/Fonctionnement_d%27un_ordinateur/L%27architecture_de_base_d%27un_ordinateur),FR
Architecture de l’Ordinateur,[https://rmdiscala.de](https://rmdiscala.developpez.com/cours/LesChapitres.html/Cours1/Chap1.5.htm),FR
Architecture des ordinateurs,[http://emi.um5.ac.ma](http://emi.um5.ac.ma/belouadha/assets/doc/Architecture.pdf),FR
Architecture des ordinateurs I,[http://emi.um5.ac.ma](http://emi.um5.ac.ma/eleuldj/Cours/Arc_Ord/ArcOrd1.pdf),FR
