Project,URL,Language
Wikipedia,[https://en.wikipedia](https://en.wikipedia.org/wiki/Computer_network),EN
Tutorialspoint,[https://www.tutorial](https://www.tutorialspoint.com/computer_fundamentals/computer_networking.htm),EN
Basics of Computer Networking,[https://www.geeksfor](https://www.geeksforgeeks.org/basics-computer-networking/),EN
Understand Computer Networks,[https://medium.freec](https://medium.freecodecamp.org/computer-networks-and-how-to-actually-understand-them-c1401908172d),EN
An Educator's Guide to School Networks,[https://fcit.usf.edu](https://fcit.usf.edu/network/chap1/chap1.htm),EN
Edx,[https://www.edx.org/](https://www.edx.org/course/computer-networks-internet-kironx-fhlcnx),EN
An Introduction to Computer Networks,[https://intronetwork](https://intronetworks.cs.luc.edu/current/html/),EN
Basic computer network components,[https://en.wikiversi](https://en.wikiversity.org/wiki/Basic_computer_network_components),EN
Data Communication & Computer Network,[https://www.tutorial](https://www.tutorialspoint.com/data_communication_computer_network/),EN
Studytonight,[https://www.studyton](https://www.studytonight.com/computer-networks/),EN
Basic Networking Course for Beginners,[http://www.steves-in](http://www.steves-internet-guide.com/basic-networking-course/),EN
Computer Networking Notes,[https://www.computer](https://www.computernetworkingnotes.com/networking-tutorials/),EN
Tutorial Ride,[https://www.tutorial](https://www.tutorialride.com/networking.htm),EN
IT Tutorials,[https://ittutorials.](https://ittutorials.net/network/),EN
Javatpoint,[https://www.javatpoi](https://www.javatpoint.com/computer-network-tutorial),EN
Xah Lee,[http://xahlee.info/l](http://xahlee.info/linux/computer_networking_index.html),EN
Cisco,[https://www.cisco.co](https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/networking-basics.html),EN
Lantronix,[https://www.lantroni](https://www.lantronix.com/resources/networking-tutorials/ethernet-tutorial-networking-basics/),EN
Computer Network Components,[https://www.sophia.o](https://www.sophia.org/tutorials/computer-network-components),EN
Codescracker,[https://codescracker](https://codescracker.com/networking/),EN
An Overview of Computer Networking,[https://techspirited](https://techspirited.com/computer-networking-tutorial),EN
Tutorialology,[https://www.tutorial](https://www.tutorialology.com/computer-networking/),EN
Guru99,[https://www.guru99.c](https://www.guru99.com/data-communication-computer-network-tutorial.html),EN
An Introduction to Computer Networks,[http://intronetworks](http://intronetworks.cs.luc.edu/current/ComputerNetworks.pdf),EN
Introduction to Computer Networking,[https://www.vfu.bg/e](https://www.vfu.bg/en/e-Learning/Computer-Networks--Introduction_Computer_Networking.pdf),EN
Web Resources for Computer Networks,[https://www.cs.vu.nl](https://www.cs.vu.nl/~ast/CN5/),EN
Network World,[https://www.networkw](https://www.networkworld.com/article/3239677/lan-wan/the-osi-model-explained-how-to-understand-and-remember-the-7-layer-network-model.html),EN
Basic Networking Tutorial,[http://www.mowhs.gov](http://www.mowhs.gov.bt/wp-content/uploads/2011/08/What-is-a-computer-Network.pdf),EN
NPTEL,[https://nptel.ac.in/](https://nptel.ac.in/courses/106105081/#),EN
Computer And Data Networks,[http://www.ee.surrey](http://www.ee.surrey.ac.uk/Projects/CAL/networks/),EN
Basic Network Concepts,[https://www3.nd.edu/](https://www3.nd.edu/~cpoellab/teaching/cse40814_fall14/networks.pdf),EN
Kevin Curran,[https://kevincurran.](https://kevincurran.org/teaching/computer-networks/),EN
Computer Network Programming,[https://en.wikipedia](https://en.wikipedia.org/wiki/Computer_network_programming),EN
Network Design Concepts,[https://www.scte.org](https://www.scte.org/documents/pdf/CCNA4%20Sample.pdf),EN
A TCP/IP Tutorial,[https://tools.ietf.o](https://tools.ietf.org/html/rfc1180),EN
Sockets Programming in C,[https://www.csd.uoc.](https://www.csd.uoc.gr/~hy556/material/tutorials/cs556-3rd-tutorial.pdf),EN
Network Design,[http://www.tamug.edu](http://www.tamug.edu/computing/class/ShipNetworkOldDesign.pdf),EN
Tools for Teaching Computer Networking,[https://doc.lagout.o](https://doc.lagout.org/network/Computer%20Networking%20%26%20Hardware%20Concepts.pdf),EN
Internet 101,[https://www.khanacad](https://www.khanacademy.org/computing/computer-science/internet-intro),EN
Brain Bell,[https://www.brainbel](https://www.brainbell.com/tutorials/Networking/),EN
Advanced Computer Networks,[https://web.cs.wpi.e](https://web.cs.wpi.edu/~rek/Adv_Nets/Fall2013/Fall2013.html),EN
Hobbes' Internet Timeline,[https://www.zakon.or](https://www.zakon.org/robert/internet/timeline/),EN
"How to Set Up a Home Network, Beginners Guide",[https://stevessmarth](https://stevessmarthomeguide.com/build-home-network/),EN
Top 60 Networking Interview Questions and Answers,[https://www.software](https://www.softwaretestinghelp.com/networking-interview-questions-2/),EN
NAT Tutorial,[https://www.karlrupp](https://www.karlrupp.net/en/computer/nat_tutorial),EN
Basic Networking Concepts,[https://www.ece.uvic](https://www.ece.uvic.ca/~itraore/elec567-13/notes/dist-03-4.pdf),EN
TCP and UDP Ports,[https://www.bleeping](https://www.bleepingcomputer.com/tutorials/tcp-and-udp-ports-explained/),EN
Computer Networks (CS425),[https://www.cse.iitk](https://www.cse.iitk.ac.in/users/dheeraj/cs425/),EN
Web TCP/IP,[https://www.quanzhan](https://www.quanzhanketang.com/website/web_tcpip.html),EN
Tutorial on Networks,[https://www.cs.umd.e](https://www.cs.umd.edu/~meesh/cmsc411/website/proj01/pub/welcome.html),EN
Introduction to Computer Networks,[https://www.ece.rutg](https://www.ece.rutgers.edu/~marsic/books/CN/networking-tutorial.pdf),EN
SNMP Tutorial,[https://www.manageen](https://www.manageengine.com/network-monitoring/what-is-snmp.html),EN
Introduction to Computer Networks,[https://inspirit.net](https://inspirit.net.in/books/networking/Introduction%20to%20Computer%20Networks.pdf),EN
Computer Networking: A Top-Down Approach,[https://www.bau.edu.](https://www.bau.edu.jo/UserPortal/UserProfile/PostsAttach/10617_1870_1.pdf),EN
