Project,URL,Language
Wikipedia,[https://en.wikipedia](https://en.wikipedia.org/wiki/Computer_security),EN
Search Security,[https://searchsecuri](https://searchsecurity.techtarget.com/definition/cybersecurity),EN
Cisco,[https://www.cisco.co](https://www.cisco.com/c/en/us/products/security/what-is-cybersecurity.html),EN
Palo Alto Networks,[https://www.paloalto](https://www.paloaltonetworks.com/cyberpedia/what-is-cyber-security),EN
Twitter Hashtag,[https://twitter.com/](https://twitter.com/hashtag/cybersecurity),EN
Cybrary.it,[https://www.cybrary.](https://www.cybrary.it/),EN
Cybersecurity Career,[https://learntocodew](https://learntocodewith.me/posts/cybersecurity/),EN
Tutorialspoint,[https://www.tutorial](https://www.tutorialspoint.com/computer_security/),EN
CS 155 Stanford,[https://crypto.stanf](https://crypto.stanford.edu/cs155/syllabus.html),EN
Outline of Computer Security,[https://en.wikipedia](https://en.wikipedia.org/wiki/Outline_of_computer_security),EN
What is Computer Security,[http://www.cse.psu.e](http://www.cse.psu.edu/~trj1/cse544-s10/papers/gasser_ch1-2.pdf),EN
Computer Security Basics,[http://www.smfpl.org](http://www.smfpl.org/files/Computer%20Security.pdf),EN
Foundations of Computer Security,[https://www.mobt3ath](https://www.mobt3ath.com/uplode/book/book-26247.pdf),EN
Intro to Comp Security,[https://its.ucsc.edu](https://its.ucsc.edu/security/training/docs/intro.pdf),EN
Introduction to Computer Security,[http://iips.icci.edu](http://iips.icci.edu.iq/images/exam/Introduction-to-Computer-Security-pdf-DONE.pdf),EN
Overview of Computer Security,[https://arxiv.org/pd](https://arxiv.org/pdf/cs/0110043.pdf),EN
Computer Security NIST,[https://nvlpubs.nist](https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-12.pdf),EN
Concepts and Terminology,[https://www.acsac.or](https://www.acsac.org/secshelf/book001/02.pdf),EN
Corporate Computer Security,[https://zodml.org/si](https://zodml.org/sites/default/files/Corporate_Computer_Security_%28Third_Edition%29.pdf),EN
Threats and Attacks,[http://web.cse.ohio-](http://web.cse.ohio-state.edu/~champion.17/4471/4471_lecture_2.pdf),EN
CSE 484: Computer Security,[https://courses.cs.w](https://courses.cs.washington.edu/courses/cse484/08wi/lectures/index.html),EN
Principles and Practice,[https://vowi.fsinf.a](https://vowi.fsinf.at/images/3/3d/TU_Wien-Introduction_to_Security_VU_%28Weippl%29_-_Computer_Security_Principles_and_Practice_%283rd_Edition_-_2015%29.pdf),EN
Security and Privacy,[https://crysp.uwater](https://crysp.uwaterloo.ca/courses/cs489/F07-lectures/lecture01.pdf),EN
Computer Security at Nuclear Facilities,[https://www-pub.iaea](https://www-pub.iaea.org/MTCD/Publications/PDF/Pub1527_web.pdf),EN
Intro to Comp Sec,[http://www.ra.cs.uni](http://www.ra.cs.uni-tuebingen.de/lehre/ss11/introsec/06-access.pdf),EN
Ten Ways to Improve Security,[http://www.athens.ed](http://www.athens.edu/pdfs/it/cyber-tips/Ten-Ways-to-Improve-New-Computer-Security.pdf?x75869),EN
Cyber Security for Dummies,[https://d3alc7xa4w7z](https://d3alc7xa4w7z55.cloudfront.net/static/upload/protected/201/0114/2015-osspaloalto1-cybersecurity-for-dummies.pdf),EN
National Cyber Strategy,[https://www.whitehou](https://www.whitehouse.gov/wp-content/uploads/2018/09/National-Cyber-Strategy.pdf),EN
Cyber Security Issues and Challenges,[https://fas.org/sgp/](https://fas.org/sgp/crs/misc/R43831.pdf),EN
Importante of Cyber Security,[https://pdfs.semanti](https://pdfs.semanticscholar.org/5cfb/7a5bd2e6c181e8a69ebd49b1dadb795f493b.pdf),EN
Five Knows of Cyber Sec,[https://www.telstra.](https://www.telstra.com.au/content/dam/tcom/business-enterprise/security-services/pdf/5-knows-of-cyber-security.pdf),EN
Crash Course,[https://www.youtube.](https://www.youtube.com/watch?v=bPVaOlJ6ln0),EN
How Israel Rules the World of CyberSec,[https://www.youtube.](https://www.youtube.com/watch?v=ca-C3voZwpM&t=3s),EN
Russian Hacking,[https://www.youtube.](https://www.youtube.com/watch?v=G2_5rPbUDNA&),EN
Edureka Course,[https://www.youtube.](https://www.youtube.com/watch?v=ooJSgsB5fIE&list=PL9ooVrP1hQOGPQVeapGsJCktzIO4DtI4_),EN
MIT 6.858,[https://www.youtube.](https://www.youtube.com/watch?v=GqmQg-cszw4&list=PLUl4u3cNGP62K2DjQLRxDNRi0z2IRWnNh),EN
Intro to CompSec Course,[https://www.youtube.](https://www.youtube.com/watch?v=zBFB34YGK1U&list=PLaShtuU3FA75uYnfiAASPZID1wFCHAFve),EN
Segurança de Computadores,[https://pt.wikipedia](https://pt.wikipedia.org/wiki/Seguran%C3%A7a_de_computadores),PT
Cartilha de Segurança,[https://cartilha.cer](https://cartilha.cert.br/computadores/),PT
Introdução à Segurança,[http://www.ic.unicam](http://www.ic.unicamp.br/~cmbm/MC001/aularedes2-seguranca.pdf),PT
Introdução à Segurança de Computadores,[http://srvd.grupoa.c](http://srvd.grupoa.com.br/uploads/imagensExtra/legado/G/GOODRICH_Michael_T/Seguranca_Computadores/Lib/Amostra.pdf),PT
Segurança Informática,[https://repositorio.](https://repositorio.ucp.pt/bitstream/10400.14/12040/1/Tese_TiagoSilva.pdf),PT
Cibersegurança,[https://www.idn.gov.](https://www.idn.gov.pt/publicacoes/nacaodefesa/textointegral/NeD133.pdf),PT
Cibersegurança Livro,[https://www.kas.de/c](https://www.kas.de/c/document_library/get_file?uuid=ed6be5d1-dd4c-2ec8-0fff-ee8f5dcf3226&groupId=252038),PT
Guerra da Informação,[https://run.unl.pt/b](https://run.unl.pt/bitstream/10362/14300/1/Dissertacao_OMilitao_35664.pdf),PT
Técnicas de Segurança da Informação,[http://www.seguranca](http://www.segurancalegal.com/wp-content/uploads/2017/09/T%C3%A9cnicas-de-Seguran%C3%A7a-da-Informa%C3%A7%C3%A3o-da-Teoria-%C3%A0-Pr%C3%A1tica.pdf),PT
Segurança da Informação,[http://www.teleco.co](http://www.teleco.com.br/promon/pbtr/Seguranca_4WEB.pdf),PT
Fundamentos de Segurança da Informação,[https://www.cert.br/](https://www.cert.br/docs/palestras/certbr-egi2014.pdf),PT
El desafío de la Seguridad Cibernética,[https://assets.kpmg.](https://assets.kpmg.com/content/dam/kpmg/ar/pdf/ICA/pub-local/el-desafio-de-la-seguridad-cibernetica.pdf),ES
Seguridad en Informática,[http://www.bib.uia.m](http://www.bib.uia.mx/tesis/pdf/014663/014663.pdf),ES
Introducción a la Seguridad Informática,[https://www.um.es/do](https://www.um.es/docencia/barzana/GESESI/GESESI-Introduccion-a-la-seguridad.pdf),ES
Seguridad Informática,[http://campus.usal.e](http://campus.usal.es/~derinfo/Activ/Jorn02/Pon2002/LARyALSL.pdf),ES
Objetivo de la Seguridad Informática,[https://www.uv.mx/pe](https://www.uv.mx/personal/llopez/files/2011/09/presentacion.pdf),ES
Cap 2 Seguridad Informática,[http://www.ptolomeo.](http://www.ptolomeo.unam.mx:8080/xmlui/bitstream/handle/132.248.52.100/250/A5.pdf?sequence=5),ES
Ciberdefensa-Ciberseguridad,[http://www.cari.org.](http://www.cari.org.ar/pdf/ciberdefensa_riesgos_amenazas.pdf),ES
Ciberseguridad,[http://www.ieee.es/G](http://www.ieee.es/Galerias/fichero/OtrasPublicaciones/Nacional/2018/Libro-Ciberseguridad_A.Corletti_nov2017.pd.pdf),ES
Cours de Sécurité,[https://doc.lagout.o](https://doc.lagout.org/Others/Cours_securite%20informatique.pdf),FR
Securite Informatique,[https://www.eyrolles](https://www.eyrolles.com/Chapitres/9782212132335/Chap-1_Bloch.pdf),FR
Introduction à la Securite,[http://www.univ-tebe](http://www.univ-tebessa.dz/fichiers/master/master_951.pdf),FR
Cybersecurite,[https://www.societe-](https://www.societe-informatique-de-france.fr/wp-content/uploads/2017/10/1024-no11-cybersecurite.pdf),FR
La Securite de l'information,[https://www.informat](https://www.information-security.fr/quest-ce-que-la-securite-de-linformation/),FR
Sécurité de l'information,[http://www.assufranc](http://www.assufrance.com/securite_de_l_information.php),FR
Politique de Securite de L'Information,[https://mern.gouv.qc](https://mern.gouv.qc.ca/publications/ministere/politique/securite-information.pdf),FR
Portal Sicurezza,[https://it.wikipedia](https://it.wikipedia.org/wiki/Portale:Sicurezza_informatica),IT
Sicurezza Informatica,[https://www.zerounow](https://www.zerounoweb.it/analytics/data-management/sicurezza-informatica-cioe-disponibilita-integrita-e-riservatezza-dei-dati/),IT
Cap 6 Sicurezza Informatica,[http://www.dcuci.uni](http://www.dcuci.univr.it/documenti/OccorrenzaIns/matdid/matdid276908.pdf),IT
CERT Italia,[https://www.certnazi](https://www.certnazionale.it/content/uploads/2015/01/minacce_regole_di_comportamento.pdf),IT
Una Breve Introduzione,[https://www.disi.uni](https://www.disi.unige.it/person/LagorioG/SicurezzaInformatica.pdf),IT
La Sicurezza Informatica,[http://security.poli](http://security.polito.it/~lioy/01jem/TIGR_introsec_3x.pdf),IT
Handbuch Computersicherheit,[http://www.linke-bue](http://www.linke-buecher.de/texte/internet/Handbuch-Computersicherheit---von---www.raw.at-compsec-compsec.htm.pdf),DE
Handbuch Computersicherheit 1.2,[http://gipfelsoli.or](http://gipfelsoli.org/rcms_repos/Antirepression/COMPUTERSICHERHEIT-HANDBUCH-1.2.pdf),DE
IT-Sicherheit mit System,[https://www.quindata](https://www.quindata.com/fileadmin/user_upload/Quindata/Vortraege/Frau__Lang_IT-Sicherheit_mit_System__Stefanie_Lang_Fujitsu_v1.1.pdf),DE
Informationssicherheit,[http://www.lineas.de](http://www.lineas.de/gi-bs/vortraege/Sicherheitsvortrag_Braunschweig_V01.pdf),DE
IT-Sicherheit,[http://www.nm.ifi.lm](http://www.nm.ifi.lmu.de/teaching/Vorlesungen/2013ws/itsec/_skript/itsec-k2-v9.1.pdf),DE
KP.ru,[https://www.kp.ru/gu](https://www.kp.ru/guide/informatsionnaja-bezopasnost-predprijatija.html),RU
Full Print,[http://window.edu.ru](http://window.edu.ru/resource/775/77775/files/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%98%D0%91%20_%D0%9C%D0%93%D0%93%D0%A3_%20-%201.5.3%20_full-print_5_A5.pdf),RU
Introduction to Information Security,[https://www.eecs.yor](https://www.eecs.yorku.ca/course_archive/2013-14/F/4482/CSE4482_01_Introduction_2013_posted.pdf),EN
InfoSec Handbook,[http://www.panynj.go](http://www.panynj.gov/business-opportunities/pdf/corporate-information-security-handbook.pdf),EN
Information Technology Security Handbook,[https://www.infodev.](https://www.infodev.org/infodev-files/resource/InfodevDocuments_18.pdf),EN
Info Security Handbook,[https://www.nisc.go.](https://www.nisc.go.jp/security-site/campaign/files/aj-sec/handbook-all_eng.pdf),EN
