Project,URL,Language
Wikipedia Cybernetics,[https://en.wikipedia](https://en.wikipedia.org/wiki/Cybernetics),EN
Pangaro,[http://www.pangaro.c](http://www.pangaro.com/definition-cybernetics.html),EN
Web Dictionary of Cybernetics,[http://pespmc1.vub.a](http://pespmc1.vub.ac.be/ASC/INdexASC.html),EN
What are Cybernetics,[http://pespmc1.vub.a](http://pespmc1.vub.ac.be/CYBSWHAT.html),EN
Asc-Cybernetics,[http://www.asc-cyber](http://www.asc-cybernetics.org/foundations/definitions.htm),EN
New World Encyclopedia,[http://www.newworlde](http://www.newworldencyclopedia.org/entry/Cybernetics),EN
Chicago School of Media Theory,[https://lucian.uchic](https://lucian.uchicago.edu/blogs/mediatheory/keywords/cybernetics/),EN
Wikiquote Cybernetics,[https://en.wikiquote](https://en.wikiquote.org/wiki/Cybernetics),EN
Cybernetics: A mathematician of mind,[https://www.nature.c](https://www.nature.com/articles/538039a),EN
The Cybernetics Movement,[http://technologyand](http://technologyandsociety.org/the-cybernetics-movement/),EN
Norbert Wiener,[https://uberty.org/w](https://uberty.org/wp-content/uploads/2015/07/Norbert_Wiener_Cybernetics.pdf),EN
Max Planck Institute,[http://www.kyb.tuebi](http://www.kyb.tuebingen.mpg.de/research/dep.html),EN
Introduction to Cybernetics,[https://pangaro.com/](https://pangaro.com/design-is/Cybernetics-minimized-v8b.pdf),EN
The Human use of Human Beings,[https://monoskop.org](https://monoskop.org/images/5/51/Wiener_Norbert_The_Human_Use_of_Human_Beings.pdf),EN
Cybernetics and the Theory of Knowledge,[http://vonglasersfel](http://vonglasersfeld.com/papers/255.pdf),EN
Cybernetics Article,[http://21stcenturywi](http://21stcenturywiener.org/wp-content/uploads/2013/11/Cybernetics-by-D.A.-Mindell.pdf),EN
Application of Cybernetics,[https://arxiv.org/pd](https://arxiv.org/pdf/1311.0257.pdf),EN
"Past, Present and Future of Cybernetics",[http://www.linkgroup](http://www.linkgroup.hu/docs/13Systems.pdf),EN
An Introduction to Cybernetics,[http://dspace.utalca](http://dspace.utalca.cl/bitstream/1950/6344/2/IntroCyb.pdf),EN
Principles of Systems and Cybernetics,[http://134.184.131.1](http://134.184.131.111/papers/PrinciplesCybSys.pdf),EN
Cybernetics: Big Five Theory,[https://scottbarryka](https://scottbarrykaufman.com/wp-content/uploads/2014/08/DeYoung-2014-CB5T-JRP.pdf),EN
Cybernetics and AI,[https://cw.fel.cvut.](https://cw.fel.cvut.cz/old/_media/courses/ae3b33kui/lectures/lecture_03.pdf),EN
Architectural Relevance of Cybernetics,[https://cmusynthetic](https://cmusyntheticecologies.files.wordpress.com/2014/01/pask_gordon_the-architectural-relevance-of-cybernetics.pdf),EN
Principles for Learning Design,[http://cepa.info/ful](http://cepa.info/fulltexts/1796.pdf),EN
Cybernetic Ontology,[https://www.vordenke](https://www.vordenker.de/ggphilosophy/gg_cyb_ontology.pdf),EN
How We Became Posthuman,[http://faculty.georg](http://faculty.georgetown.edu/irvinem/theory/Hayles-Posthuman-excerpts.pdf),EN
