Project,URL,Language
Data Mining,[https://en.wikipedia](https://en.wikipedia.org/wiki/Data_mining),EN
SAS,[https://www.sas.com/](https://www.sas.com/en_us/insights/analytics/data-mining.html),EN
Oracle,[https://docs.oracle.](https://docs.oracle.com/cd/B28359_01/datamine.111/b28129/process.htm),EN
Data Mining by Doug Alexander,[https://www.laits.ut](https://www.laits.utexas.edu/~anorman/BUS.FOR/course.mat/Alex/),EN
Data Mining & Machine Learning,[http://www.statgraph](http://www.statgraphics.com/data-mining),EN
Data Mining Techniques,[http://www.statsoft.](http://www.statsoft.com/textbook/data-mining-techniques),EN
Tutorialspoint,[https://www.tutorial](https://www.tutorialspoint.com/data_mining/index.htm),EN
Springer,[https://link.springe](https://link.springer.com/search?query=&search-within=Journal&facet-journal-id=10618&package=openaccessarticles),EN
Data Mining Map,[https://www.saedsaya](https://www.saedsayad.com/data_mining_map.htm),EN
KDnuggets,[https://www.kdnugget](https://www.kdnuggets.com/),EN
Edx,[https://www.edx.org/](https://www.edx.org/learn/data-mining),EN
Examples of Data Mining,[https://en.wikipedia](https://en.wikipedia.org/wiki/Examples_of_data_mining),EN
Guru99,[https://www.guru99.c](https://www.guru99.com/data-mining-tutorial.html),EN
CSE 5243: Introduction to Data Mining,[http://web.cse.ohio-](http://web.cse.ohio-state.edu/~parthasarathy.2/674/),EN
Data Mining Examples,[https://simplicable.](https://simplicable.com/new/data-mining-examples),EN
Data Mining Concepts,[https://people.cs.pi](https://people.cs.pitt.edu/~chang/156/21mining.html),EN
R Data Mining,[http://www.rdatamini](http://www.rdatamining.com/examples),EN
Principles of Knowledge Discovery in Databases,[https://webdocs.cs.u](https://webdocs.cs.ualberta.ca/~zaiane/courses/cmput690/),EN
Geeks for Geeks,[https://www.geeksfor](https://www.geeksforgeeks.org/python-for-data-science/),EN
Tutorialride,[https://www.tutorial](https://www.tutorialride.com/data-mining/data-mining-tutorial.htm),EN
Statistical Data Mining Tutorials,[https://www.cs.cmu.e](https://www.cs.cmu.edu/~./awm/tutorials/index.html),EN
Orange Tutorial,[https://blog.biolab.](https://blog.biolab.si/tag/tutorial/),EN
Michal Kosinski,[https://www.michalko](https://www.michalkosinski.com/data-mining-tutorial),EN
Data Mining & Knowledge Discovery,[https://web.fhnw.ch/](https://web.fhnw.ch/personenseiten/taoufik.nouri/Data%20Mining/index.htm),EN
Data Mining Concepts and Techniques,[http://myweb.sabanci](http://myweb.sabanciuniv.edu/rdehkharghani/files/2016/02/The-Morgan-Kaufmann-Series-in-Data-Management-Systems-Jiawei-Han-Micheline-Kamber-Jian-Pei-Data-Mining.-Concepts-and-Techniques-3rd-Edition-Morgan-Kaufmann-2011.pdf),EN
Chapter 1 Data Mining,[http://infolab.stanf](http://infolab.stanford.edu/~ullman/mmds/ch1.pdf),EN
Concepts and Techniques,[http://www.dsi.unive](http://www.dsi.unive.it/~marek/files/06%20-%20datamining),EN
Simon Fraser University,[https://cs.wmich.edu](https://cs.wmich.edu/~yang/teach/cs595/han/ch01.pdf),EN
Data Warehousing and Data Mining,[https://www.dei.unip](https://www.dei.unipd.it/~capri/SI/MATERIALE/DWDM0405.pdf),EN
