Project,URL,Language
Wikipedia,[https://en.wikipedia](https://en.wikipedia.org/wiki/Information_theory),EN
Information Theory MIT,[https://web.mit.edu/](https://web.mit.edu/6.933/www/Fall2001/Shannon2.pdf),EN
Encyclopedia Britannica,[https://www.britanni](https://www.britannica.com/science/information-theory),EN
EE 376A: Information Theory Stanford,[https://web.stanford](https://web.stanford.edu/class/ee376a/),EN
Information Theory Made Simple,[https://evo2.org/inf](https://evo2.org/information-theory-made-simple/),EN
Medium Article,[https://medium.com/a](https://medium.com/aint-nobody-got-time-for-that/information-theory-f3b11050a3ae),EN
The Beginnings of Information Theory,[https://ils.unc.edu/](https://ils.unc.edu/~losee/b5/node7.html),EN
Visual Information Theory,[https://colah.github](https://colah.github.io/posts/2015-09-Visual-Information/),EN
Information Theory Article,[http://bactra.org/no](http://bactra.org/notebooks/information-theory.html),EN
A Mini-Introduction to Information Theory,[https://arxiv.org/pd](https://arxiv.org/pdf/1805.11965.pdf),EN
The Basic Theorems of Information Theory,[https://projecteucli](https://projecteuclid.org/download/pdf_1/euclid.aoms/1177729028),EN
Monoskop Information Theory,[https://monoskop.org](https://monoskop.org/Information_theory),EN
"Digital Communication, Information Theory",[https://www.tutorial](https://www.tutorialspoint.com/digital_communication/digital_communication_information_theory.htm),EN
"Information Theory, The R Project",[https://cran.r-proje](https://cran.r-project.org/web/packages/philentropy/vignettes/Information_Theory.html),EN
"Information Theory, Inference and Learning Algorithms",[http://www.inference](http://www.inference.org.uk/itprnn/book.pdf),EN
The Man Who Invented Information Theory,[https://bostonreview](https://bostonreview.net/science-nature/tom-rutledge-man-who-invented-information-theory),EN
A Tutorial for Information Theory in Neuroscience,[http://www.eneuro.or](http://www.eneuro.org/content/5/3/ENEURO.0052-18.2018),EN
Duke University Lectures,[https://www2.isye.ga](https://www2.isye.gatech.edu/~yxie77/ece587/lecture.html),EN
A Gentle Tutorial on Information Theory and Learning,[https://www.cs.cmu.e](https://www.cs.cmu.edu/~roni/10601-slides/info-theory.pdf),EN
Must know Information Theory concepts in Deep Learning,[https://towardsdatas](https://towardsdatascience.com/must-know-information-theory-concepts-in-deep-learning-ai-e54a5da9769d),EN
Probability and Information Theory,[https://www.deeplear](https://www.deeplearningbook.org/contents/prob.html),EN
Discrete Information Theory,[https://dit.readthed](https://dit.readthedocs.io/en/latest/),EN
B8.4 Information Theory (2018-2019),[https://courses.math](https://courses.maths.ox.ac.uk/node/36550/materials),EN
Information Theory and Network Coding,[http://iest2.ie.cuhk](http://iest2.ie.cuhk.edu.hk/~whyeung/book2/),EN
Formal Grammar and Information Theory,[https://www.princeto](https://www.princeton.edu/~wbialek/rome/refs/pereira_00.pdf),EN
Information Theory of Decisions and Actions,[http://www.cs.huji.a](http://www.cs.huji.ac.il/labs/learning/Papers/IT-PAC.pdf),EN
Introduction to Information Theory,[https://www.complexi](https://www.complexityexplorer.org/courses/55-introduction-to-information-theory/),EN
Elements of Information Theory,[http://www.cs-114.or](http://www.cs-114.org/wp-content/uploads/2015/01/Elements_of_Information_Theory_Elements.pdf),EN
The Laws of Cryptography: Coding and Information Theory,[http://www.cs.utsa.e](http://www.cs.utsa.edu/~wagner/laws/coding.html),EN
Deep Learning and Information Theory,[https://infotheory.e](https://infotheory.ece.uw.edu/isit_tutorial_2018.html),EN
Basic Concepts in Information Theory,[http://www-public.im](http://www-public.imtbs-tsp.eu/~uro/cours-pdf/poly.pdf),EN
Elements of Information Theory 2nd Ed,[http://staff.ustc.ed](http://staff.ustc.edu.cn/~cgong821/Wiley.Interscience.Elements.of.Information.Theory.Jul.2006.eBook-DDU.pdf),EN
A First Course in Information Theory,[http://iest2.ie.cuhk](http://iest2.ie.cuhk.edu.hk/~whyeung/post/draft7.pdf),EN
A Mathematical Theory of Communication,[http://math.harvard.](http://math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf),EN
Lecture Notes on Information Theory,[http://www.stat.yale](http://www.stat.yale.edu/~yw562/teaching/itlectures.pdf),EN
An Introduction to Information Theory and Applications,[http://www.fon.hum.u](http://www.fon.hum.uva.nl/rob/Courses/InformationInSpeech/CDROM/Literature/LOTwinterschool2006/diuf.unifr.ch/tcs/courses/it04-05/script/information-theory.pdf),EN
Coding and Information Theory,[http://www.sns.ias.e](http://www.sns.ias.edu/pitp2/2012files/Hamming_CHs1-3.pdf),EN
Entropy (Information Theory),[http://www.basicknow](http://www.basicknowledge101.com/pdf/km/Entropy%20%28information%20theory%29.pdf),EN
Information Theory and Coding,[http://clem.dii.unis](http://clem.dii.unisi.it/~vipp/files/TIC/dispense.pdf),EN
Quantum Information Theory,[https://arxiv.org/pd](https://arxiv.org/pdf/quant-ph/0412063.pdf),EN
Algorithmic Information Theory,[https://homepages.cw](https://homepages.cwi.nl/~paulv/papers/handbooklogic07.pdf),EN
Information Theory for Intelligent People,[http://tuvalu.santaf](http://tuvalu.santafe.edu/~simon/it.pdf),EN
A Student's Guide to Coding and Information Theory,[http://ingenieriacog](http://ingenieriacognitiva.com/developer/cursos/TeoriaInf/AStudent%27sGuideToCodingAndInformationTheory.pdf),EN
What is Shannon Information?,[http://philsci-archi](http://philsci-archive.pitt.edu/10911/1/What_is_Shannon_Information.pdf),EN
From Classical to Quantum Shannon Theory,[http://www.markwilde](http://www.markwilde.com/qit-notes.pdf),EN
Chapter 5 Quantum Information Theory,[http://www.theory.ca](http://www.theory.caltech.edu/people/preskill/ph229/notes/chap5.pdf),EN
Information Theory and Statistics,[https://www.icmla-co](https://www.icmla-conference.org/icmla08/slides1.pdf),EN
Information Theory: A Tutorial Introduction,[http://jim-stone.sta](http://jim-stone.staff.shef.ac.uk/BookInfoTheory/InfoTheoryBookChapter01.pdf),EN
Data Compression & Information Theory,[http://wwwhome.math.](http://wwwhome.math.utwente.nl/~meinsmag/onzin/shannon.pdf),EN
The Theory of Quantum Information,[https://cs.uwaterloo](https://cs.uwaterloo.ca/~watrous/TQI/),EN
Information Entropy,[http://folk.uio.no/f](http://folk.uio.no/feder/Fys3130/Entropy/Shannon_entropy.pdf),EN
CSC 310 Information Theory,[https://www.cs.toron](https://www.cs.toronto.edu/~radford/csc310.F11/),EN
"Claude Shannon, Father of the Information Age",[https://www.youtube.](https://www.youtube.com/watch?v=z2Whj_nL-x8&t=8s),EN
"Information Theory, Pattern Recognition and Neural Networks",[https://www.youtube.](https://www.youtube.com/watch?v=BCiZc0n6COY&list=PLruBu5BI5n4aFpG32iMbdWoRVAA-Vcso6),EN
MIT 6.050J Information and Entropy,[https://www.youtube.](https://www.youtube.com/watch?v=phxsQrZQupo&list=PLDDE03B3BDCA1D9B1),EN
Journey into Information Theory,[https://www.youtube.](https://www.youtube.com/watch?v=2s3aJfRr9gE&list=PLSQl0a2vh4HC9lvrBhVt4UUkhzpp3N5_x),EN
Information Theory,[https://www.youtube.](https://www.youtube.com/watch?v=UrefKMSEuAI&list=PLE125425EC837021F),EN
Information Theory & Coding,[https://www.youtube.](https://www.youtube.com/watch?v=Lto-ajuqW3w&list=PLzH6n4zXuckpKAj1_88VS-8Z6yn9zX_P6),EN
"Teoria da Informação, Rodrigo Pavão",[http://www.ib.usp.br](http://www.ib.usp.br/~rpavao/Teoria_da_Informacao.pdf),PT
Apontamentos de Teoria da Informação,[http://arquivoescola](http://arquivoescolar.org/bitstream/arquivo-e/132/5/cap1.pdf),PT
Introdução à Teoria da Informação,[http://www.di.ufpb.b](http://www.di.ufpb.br/leonardo/iti/ITI2004.pdf),PT
Teoria da Informação: Codificação de Fonte,[http://users.isr.ist](http://users.isr.ist.utl.pt/~vab/FTELE/cap1.pdf),PT
Introdução à Teoria da Informação,[http://sisne.org/Dis](http://sisne.org/Disciplinas/Grad/ProbEstat1/aula%2018.pdf),PT
Aplicações da Teoria da Informação à Neurociência,[http://www.scielo.br](http://www.scielo.br/pdf/rbef/v41n2/1806-9126-RBEF-41-2-e20180197.pdf),PT
Elementos de Teoria da Informação,[http://www.lx.it.pt/](http://www.lx.it.pt/~mtf/teoria_informacao.pdf),PT
Unisinos Teoria da Informação,[http://professor.uni](http://professor.unisinos.br/linds/teoinfo.html#a1),PT
Fundamentos de Comunicação de Informação,[http://srvd.grupoa.c](http://srvd.grupoa.com.br/uploads/imagensExtra/legado/R/ROCHOL_Juergen/Comunicacao_Dados_Vol22/Liberado/Cap_01.pdf),PT
Apostila Teoria da Informação,[https://www.ft.unica](https://www.ft.unicamp.br/~leobravo/TT%20081/apostila1.pdf),PT
Teoría de la Información,[https://www.ecured.c](https://www.ecured.cu/Teor%C3%ADa_de_la_informaci%C3%B3n),ES
Teoría de la información de Claude E. Shannon,[http://dia.austral.e](http://dia.austral.edu.ar/Teor%C3%ADa_de_la_informaci%C3%B3n_de_Claude_E._Shannon),ES
Teoría de la Información,[https://cs.uns.edu.a](https://cs.uns.edu.ar/~ldm/mypage/data/ss/info/teoria_de_la_informacion2.pdf),ES
Fuentes de Información,[http://www.exa.unice](http://www.exa.unicen.edu.ar/catedras/teoinfo/files/2016/ti3_2016.pdf),ES
Teoría Matemática de la Comunicación,[http://www.unitec.ed](http://www.unitec.edu.ve/materiasenlinea/upload/T532-3-4.pdf),ES
Teoría de la Información y Codificación,[http://www.investigo](http://www.investigo.biblioteca.uvigo.es/xmlui/bitstream/handle/11093/188/mybook.pdf),ES
Teoria de la Comunicación,[https://lideresdeizq](https://lideresdeizquierdaprd.files.wordpress.com/2015/11/teoria-de-la-comunicacion-libro_.pdf),ES
Teorías de la Comunicación,[http://www.aliat.org](http://www.aliat.org.mx/BibliotecasDigitales/comunicacion/Teorias_de_la%20_comunciacion.pdf),ES
Introduction à la Théorie de L'Information,[https://www.rocq.inr](https://www.rocq.inria.fr/secret/Nicolas.Sendrier/thinfo.pdf),FR
Théorie de L'Information,[https://members.lori](https://members.loria.fr/MMinier/static/images/Th_Info.pdf),FR
Introduction à la Théorie de L'Information,[http://laris.univ-an](http://laris.univ-angers.fr/_resources/logo/seminaire_Rousseau_23042002.pdf),FR
UV Théorie de L'Information,[https://asi.insa-rou](https://asi.insa-rouen.fr/enseignement/siteUV/ti/private/Cours1-2_TI.pdf),FR
Théorie de l’information,[http://benhur.teluq.](http://benhur.teluq.ca/SPIP/inf6460/spip.php?article110),FR
Théories et théorie de l’information,[https://interstices.](https://interstices.info/theories-et-theorie-de-linformation/),FR
Théorie de L'Information,[http://www.gipsa-lab](http://www.gipsa-lab.grenoble-inp.fr/~jean-marc.brossier/TheorieInformation-Ensimag-2014.pdf),FR
Théorie de L'Information et Applications,[http://dev.ipol.im/~](http://dev.ipol.im/~morel/TraitementSignal.pdf),FR
Théorie de L'Information,[http://ama.liglab.fr](http://ama.liglab.fr/~amini/Cours/ISN/ISN2/TheorieInfo-2.pdf),FR
Théorie de L'Information et du Codage,[http://www.montefior](http://www.montefiore.ulg.ac.be/~lwh/Info/info-notes03.pdf),FR
Teoria Dell'Informazione,[http://www.ing.unitn](http://www.ing.unitn.it/~melganif/PDF/tx-num3.pdf),IT
Teoria Dell'Informazione,[https://www.sci.unic](https://www.sci.unich.it/~acciaro/librocb.pdf),IT
Teoria Dell'Informazione e Della Transmissione,[https://homes.di.uni](https://homes.di.unimi.it/~cesabian/tinfo/),IT
Teoria Dell'Informazione e Codici,[http://scienze-como.](http://scienze-como.uninsubria.it/previtali/Bellini-TeoriaInfoCodiciNote.pdf),IT
Teoria Dell'Informazione ed Entropia,[http://ricerca.mat.u](http://ricerca.mat.uniroma3.it/users/merola/critto09/seminari/Marini.pdf),IT
Dispensa di Teoria Dell'Informazione,[http://www.simionato](http://www.simionato.org/assets/dispensa_TI.pdf),IT
Appunti di Teoria Dell'Informazione e Codici,[http://www.tti.unipa](http://www.tti.unipa.it/garbo/Teoria%20InfeCodici.pdf),IT
STII/Teoria Dell'Informazione,[http://www.di-srv.un](http://www.di-srv.unisa.it/professori/lg/IT/SLIDES/Lez1.pdf),IT
Elementi di Teoria Dell'Informazione,[http://www.uniroma2.](http://www.uniroma2.it/didattica/WmIR/deposito/infth.pdf),IT
La Codifica Dell'Informazione,[http://www.di.unito.](http://www.di.unito.it/~patti/teaching/CodificaInfo1-0405.pdf),IT
"ETH Zürich, Informationstheorie",[https://ml2.inf.ethz](https://ml2.inf.ethz.ch/courses/it/),DE
Information und Kommunikation,[https://graphics.eth](https://graphics.ethz.ch/teaching/infotheory_common/skript.pdf),DE
Informationstheorie,[https://www.ti.rwth-](https://www.ti.rwth-aachen.de/teaching/sonstige_vorlesungen/informationstheorie/data/it.pdf),DE
Informationstheorie,[https://www.ifi.uzh.](https://www.ifi.uzh.ch/ee/fileadmin/user_upload/teaching/hs08/form_grund/Informationstheorie.pdf),DE
Mathematische Grundlagen III,[http://www.coli.uni-](http://www.coli.uni-saarland.de/courses/mathe3/SS11/Lectures/l4_info_thy.pdf),DE
Informationstheorie Universität Salzburg,[https://www.uni-salz](https://www.uni-salzburg.at/fileadmin/oracle_file_imports/556438.PDF),DE
Eine Einführung in die Algorithmische Informationstheorie,[https://pub.h-brs.de](https://pub.h-brs.de/frontdoor/deliver/index/docId/3668/file/brsu_techreport_02_2018_Witt_pdf1-4.pdf),DE
Teoria Informacii,[https://www.mccme.ru](https://www.mccme.ru/free-books/izdano/2004/it2004p1.pdf),RU
Article,[http://ict.edu.ru/ft](http://ict.edu.ru/ft/000004//1.pdf),RU
Fundamentals of Information Theory & Coding,[http://miigaik.ru/vt](http://miigaik.ru/vtiaoai/tutorials/10.pdf),RU
Information Theory,[http://femto.com.ua/](http://femto.com.ua/articles/part_2/4016.html),RU
AI-News Articles,[http://ai-news.ru/te](http://ai-news.ru/teoriya_informacii.html),RU
Lectures Theory of Information,[http://window.edu.ru](http://window.edu.ru/resource/553/72553/files/teoria_informacii.pdf),RU
Information Theory Book,[http://cyber.sibsuti](http://cyber.sibsutis.ru:82/%D0%A1%D0%9F%D0%98/%D0%9F%D0%B5%D1%80%D0%B2%D0%B0%D1%8F%20%D1%87%D0%B0%D1%81%D1%82%D1%8C/%D0%94%D1%83%D1%85%D0%B8%D0%BD%20%D0%90.%D0%90%20-%20%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%B8.pdf),RU
