Project,URL,Language
The Julia Programming Language,[https://julialang.or](https://julialang.org/),EN
Wikipedia,[https://en.wikipedia](https://en.wikipedia.org/wiki/Julia_(programming_language)),EN
Julia Computing,[https://juliacomputi](https://juliacomputing.com/),EN
Julia Cheatsheet,[https://cheatsheets.](https://cheatsheets.quantecon.org/julia-cheatsheet.html),EN
Why Julia?,[https://ucidatascien](https://ucidatascienceinitiative.github.io/IntroToJulia/Html/WhyJulia),EN
Intro to Julia,[https://ucidatascien](https://ucidatascienceinitiative.github.io/IntroToJulia/),EN
Introduction to Applied Linear Algebra,[https://web.stanford](https://web.stanford.edu/~boyd/vmls/vmls-julia-companion.pdf),EN
Julia for Machine Learning,[http://www.cs.toront](http://www.cs.toronto.edu/~jsnell/assets/julia-tutorial.pdf),EN
Julia Optimization Packages,[https://www.juliaopt](https://www.juliaopt.org/),EN
Julia Bloggers,[https://www.juliablo](https://www.juliabloggers.com/),EN
Julia Youtube Channel,[https://www.youtube.](https://www.youtube.com/user/JuliaLanguage/playlists),EN
Julia Box,[https://juliabox.com](https://juliabox.com/),EN
Quantitative Economics with Julia,[https://lectures.qua](https://lectures.quantecon.org/jl/),EN
An Introduction to GPU Programming in Julia,[https://nextjournal.](https://nextjournal.com/sdanisch/julia-gpu-programming),EN
A review of the Julia language,[https://danluu.com/j](https://danluu.com/julialang/),EN
High-Performance GPU Computing in the Julia Programming Language,[https://devblogs.nvi](https://devblogs.nvidia.com/gpu-computing-julia-programming-language/),EN
Meeting Julia,[https://medium.com/@](https://medium.com/@nwerneck/meeting-julia-a-great-new-alternative-for-numerical-programming-part-i-benchmarking-c03dd3289493),EN
Julia and Julia Sets,[https://hackernoon.c](https://hackernoon.com/julia-and-julia-sets-e5a6fa3de7a7),EN
Learn X in Y Minutes,[https://learnxinymin](https://learnxinyminutes.com/docs/julia/),EN
Learn Julia the Hard Way,[https://github.com/c](https://github.com/chrisvoncsefalvay/learn-julia-the-hard-way),EN
Julia Programming,[http://www.phys.ucon](http://www.phys.uconn.edu/~rozman/Courses/m3510_18f/julia.html),EN
Julia by Example,[https://samuelcolvin](https://samuelcolvin.github.io/JuliaByExample/),EN
Hands on Julia,[https://github.com/d](https://github.com/dpsanders/hands_on_julia),EN
Introducing Julia,[https://en.wikibooks](https://en.wikibooks.org/wiki/Introducing_Julia),EN
A Beginner's Look at Julia,[https://randyzwitch.](https://randyzwitch.com/julia-language-beginners/),EN
The Julia Express,[http://bogumilkamins](http://bogumilkaminski.pl/files/julia_express.pdf),EN
Julia/Economics,[https://juliaeconomi](https://juliaeconomics.com/2014/06/15/getting-started-installing-julia-julia-studio-and-packages-used-in-economics/),EN
Julia’s Role in Data Science,[https://www.oreilly.](https://www.oreilly.com/ideas/julias-role-in-data-science),EN
Think Julia,[https://benlauwens.g](https://benlauwens.github.io/ThinkJulia.jl/latest/book.html),EN
My Julia programming cheat sheet,[https://www.12000.or](https://www.12000.org/my_notes/faq/julia/index.htm),EN
Notes on the Julia programming language,[http://robblackwell.](http://robblackwell.com/julia/index.html),EN
First Steps with Julia,[https://blog.brakmic](https://blog.brakmic.com/first-steps-with-julia/),EN
Null Program,[https://nullprogram.](https://nullprogram.com/blog/2014/03/06/),EN
Julia Documentation,[https://juliacomputi](https://juliacomputing.com/docs/JuliaDocumentation.pdf),EN
A Fast Dynamic Language for Technical Computing,[https://julialang.or](https://julialang.org/images/nyhackr.pdf),EN
Julia Tutorial,[https://laurentlessa](https://laurentlessard.com/teaching/cs524/slides/julia%20tutorial.pdf),EN
Julia: A Modern Language for Modern ML,[https://qconlondon.c](https://qconlondon.com/system/files/presentation-slides/julia_1and2.pdf),EN
Julia: A Programming Language for Scientific Computing,[https://web.maths.un](https://web.maths.unsw.edu.au/~mclean/talks/Julia_talk.pdf),EN
Julia for Machine Learning,[http://www.cs.toront](http://www.cs.toronto.edu/~jsnell/assets/julia-tutorial.pdf),EN
Julia Slides Stanford,[http://web.stanford.](http://web.stanford.edu/class/ee103/julia_slides/),EN
Julia Programming for Operations Research,[http://www.chkwon.ne](http://www.chkwon.net/julia/book/juliabook-preview.pdf),EN
A Brief Overview of Julia,[https://www8.cs.umu.](https://www8.cs.umu.se/kurser/5DV086/VT17/resources/reports/julia.pdf),EN
Julia: A Fresh Approach to Numerical Computing,[https://arxiv.org/pd](https://arxiv.org/pdf/1411.1607.pdf),EN
Julia for Data Science,[http://www.maths.ade](http://www.maths.adelaide.edu.au/matthew.roughan/talks/julia_for_data_science.pdf),EN
Julia: A Fresh Approach to Parallel Computing,[https://www.intel.co](https://www.intel.com/content/dam/www/public/us/en/documents/presentation/julia-in-parallel-and-high-performance-computing.pdf),EN
Julia for R Programmers,[https://www.stat.wis](https://www.stat.wisc.edu/~bates/JuliaForRProgrammers.pdf),EN
Parallel and Distributed Computing with Julia,[http://www.csd.uwo.c](http://www.csd.uwo.ca/~moreno/cs2101a_moreno/Parallel_computing_with_Julia.pdf),EN
A Comprehensive Tutorial to Learn Data Science with Julia,[https://www.analytic](https://www.analyticsvidhya.com/blog/2017/10/comprehensive-tutorial-learn-data-science-julia-from-scratch/),EN
Dynamic Network Analysis in Julia,[http://eprints.maths](http://eprints.maths.manchester.ac.uk/2376/1/julia_eg_report.pdf),EN
Julia.jl,[https://github.com/s](https://github.com/svaksha/Julia.jl),EN
Julia in One Video,[https://www.youtube.](https://www.youtube.com/watch?v=sE67bP2PnOo),EN
Introduction to Julia for Pythonistas,[https://www.youtube.](https://www.youtube.com/watch?v=Cj6bjqS5otM),EN
Why I use Julia for Quantum Physics,[https://www.youtube.](https://www.youtube.com/watch?v=87Bo1rwmVwQ),EN
First Steps with Julia for Numerical Computing,[https://www.youtube.](https://www.youtube.com/watch?v=gaJorAU644o),EN
Julia for Data Analysis and Beyond,[https://www.youtube.](https://www.youtube.com/watch?v=DRKKAFYM9yo),EN
JuliaLangPT,[https://github.com/J](https://github.com/JuliaLangPt/tutorial_PT_BR),PT
O Manual de Julia,[https://julia-cn.rea](https://julia-cn.readthedocs.io/pt_BR/latest/manual/introduction.html),PT
Introdução à Linguagem de Programação Julia,[http://www.eripi.com](http://www.eripi.com.br/2017/images/anais/minicursos/4.pdf),PT
Linguagem de Programação Julia,[http://www.abenge.or](http://www.abenge.org.br/cobenge/arquivos/3/anais/anais/161240.pdf),PT
Lenguaje de Programación JULIA,[http://zeus.inf.ucv.](http://zeus.inf.ucv.cl/~hallende/material/julia.pdf),ES
Curso Julia,[https://github.com/c](https://github.com/codeneomatrix/curso-JULIA),ES
Julia,[http://ferestrepoca.](http://ferestrepoca.github.io/paradigmas-de-programacion/paralela/tutoriales/julia/index.html),ES
Introduction à Julia,[http://www.slashbin.](http://www.slashbin.net/julia/introJulia.html),FR
Julia: le langage scientifique,[http://perso.ensta-p](http://perso.ensta-paristech.fr/~diam/julia/),FR
Julia vs Python,[https://www.scriptol](https://www.scriptol.fr/programmation/julia.php),FR
Developpez,[https://julia.develo](https://julia.developpez.com/tutoriels/decouverte-julia/),FR
À La Découberte de Julia,[https://zestedesavoi](https://zestedesavoir.com/articles/pdf/78/a-la-decouverte-de-julia.pdf),FR
