Project,URL,Language
MIT Math for Computer Science,[https://courses.csai](https://courses.csail.mit.edu/6.042/spring17/mcs.pdf),EN
Gentle Intro,[http://web.ftvs.cuni](http://web.ftvs.cuni.cz/hendl/metodologie/gentle-introduction-to-mathematics-for-computer.pdf),EN
Discrete Math,[https://en.wikiversi](https://en.wikiversity.org/wiki/Introductory_Discrete_Mathematics_for_Computer_Science),EN
Facts & Formulae,[http://www.mathcentr](http://www.mathcentre.ac.uk/resources/uploaded/43799-maths-for-computer-sci-ff-for-web.pdf),EN
Computer Mathematics,[https://en.wikipedia](https://en.wikipedia.org/wiki/Computer_mathematics),EN
Intro to Mathematical Computing,[http://www.maths.qmu](http://www.maths.qmul.ac.uk/~fjw/goldsmiths/2010/FJW/Introduction%20to%20Mathematical%20Computing.pdf),EN
Mathematics and Computation,[https://www.math.ias](https://www.math.ias.edu/files/mathandcomp.pdf),EN
CS 103 Stanford,[https://web.stanford](https://web.stanford.edu/class/cs103/notes/Mathematical%20Foundations%20of%20Computing.pdf),EN
CS 103 Materials,[https://web.stanford](https://web.stanford.edu/class/cs103/),EN
Discrete Math Tutorial,[https://www.tutorial](https://www.tutorialspoint.com/discrete_mathematics/index.htm),EN
Disc Math for CS,[https://www.cl.cam.a](https://www.cl.cam.ac.uk/teaching/1314/DiscMath/DiscMathNotes.pdf),EN
Intro to Comp Math,[http://www-personal.](http://www-personal.umich.edu/~paullric/AM341.pdf),EN
Math for Computer Scientists,[http://www.cs.nott.a](http://www.cs.nott.ac.uk/~psztxa/g51mcs/notes.pdf),EN
Computational & Applied Mathematics,[https://www.unige.ch](https://www.unige.ch/~gander/teaching/talk.pdf),EN
Concrete Mathematics,[https://www.csie.ntu](https://www.csie.ntu.edu.tw/~r97002/temp/Concrete%20Mathematics%202e.pdf),EN
Discrete Math Using a Computer,[http://www.x.edu.uy/](http://www.x.edu.uy/inet/Springer.pdf),EN
Computational Mathematics,[http://www.mat.uc.pt](http://www.mat.uc.pt/~ferreira/CompMathematics.pdf),EN
A Guide to Writing Math,[http://web.cs.ucdavi](http://web.cs.ucdavis.edu/~amenta/w10/writingman.pdf),EN
Math for Computer Graphics,[http://pdf.nsc.ac.id](http://pdf.nsc.ac.id/1-buku%20komputer%20grafis-20170515052347.pdf),EN
Advanced Math for Engineers,[http://www.hs-weinga](http://www.hs-weingarten.de/~ertel/vorlesungen/mae/matheng-skript-1213.pdf),EN
Mathematical Logic,[http://www.win.tue.n](http://www.win.tue.nl/~keesh/ow/2if85/Ben-Ari3rd.pdf),EN
3Blue1Brown,[https://www.youtube.](https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw),EN
Mathologer,[https://www.youtube.](https://www.youtube.com/channel/UC1_uAIS3r8Vu6JjXWvastJg),EN
Numberphile,[https://www.youtube.](https://www.youtube.com/user/numberphile),EN
MIT 6.042J,[https://www.youtube.](https://www.youtube.com/watch?v=L3LMbpZIKhQ&list=PLB7540DEDD482705B),EN
