Project,URL,Language
Search Data Management,[https://searchdatama](https://searchdatamanagement.techtarget.com/definition/NoSQL-Not-Only-SQL),EN
NoSQL,[https://en.wikipedia](https://en.wikipedia.org/wiki/NoSQL),EN
Mongodb,[https://www.mongodb.](https://www.mongodb.com/nosql-explained),EN
Amazon,[https://aws.amazon.c](https://aws.amazon.com/nosql/),EN
Couchbase,[https://www.couchbas](https://www.couchbase.com/resources/why-nosql),EN
Spring,[https://spring.io/un](https://spring.io/understanding/NoSQL),EN
Nosql-database,[http://nosql-databas](http://nosql-database.org/),EN
Infoworld,[https://www.infoworl](https://www.infoworld.com/article/3240644/nosql/what-is-nosql-nosql-databases-explained.html),EN
Basho,[http://basho.com/res](http://basho.com/resources/nosql-databases/),EN
MySQL vs Mongodb,[https://medium.com/x](https://medium.com/xplenty-blog/the-sql-vs-nosql-difference-mysql-vs-mongodb-32c9980e67b2),EN
Edx,[https://www.edx.org/](https://www.edx.org/course/introduction-to-nosql-data-solutions-0),EN
What is Nosql,[https://academy.data](https://academy.datastax.com/planet-cassandra/what-is-nosql),EN
Geeks for Geeks,[https://www.geeksfor](https://www.geeksforgeeks.org/introduction-to-nosql/),EN
3pillarglobal,[https://www.3pillarg](https://www.3pillarglobal.com/insights/exploring-the-different-types-of-nosql-databases),EN
Digital Ocean Tutorials,[https://www.digitalo](https://www.digitalocean.com/community/tags/nosql?type=tutorials),EN
The Definitive Guide,[https://www.toptal.c](https://www.toptal.com/database/the-definitive-guide-to-nosql-databases),EN
Fullstackpython,[https://www.fullstac](https://www.fullstackpython.com/no-sql-datastore.html),EN
Nosql Overview,[https://www.thoughtw](https://www.thoughtworks.com/insights/blog/nosql-databases-overview),EN
Nosql Databases,[https://hackolade.co](https://hackolade.com/nosqldb.html),EN
Big Data and NoSQL,[https://pages.iai.un](https://pages.iai.uni-bonn.de/behrend_andreas/lehre/FIM/WS16/12%20Big%20Data.pdf),EN
Twitter Hashtag,[https://twitter.com/](https://twitter.com/hashtag/nosql?lang=en),EN
Simplilearn,[https://www.simplile](https://www.simplilearn.com/introduction-to-nosql-databases-tutorial-video),EN
Nosql Tapes,[http://nosqltapes.co](http://nosqltapes.com/),EN
W3resource,[https://www.w3resour](https://www.w3resource.com/mongodb/nosql.php),EN
Professional NoSQL,[https://the-eye.eu/p](https://the-eye.eu/public/Books/IT%20Various/professional_nosql.pdf),EN
Guru99,[https://www.guru99.c](https://www.guru99.com/nosql-tutorial.html),EN
Javatpoint,[https://www.javatpoi](https://www.javatpoint.com/nosql-databases),EN
Tutorialspoint Mongodb,[https://www.tutorial](https://www.tutorialspoint.com/mongodb/),EN
Mongodb and Python,[https://realpython.c](https://realpython.com/introduction-to-mongodb-and-python/),EN
Introduction to NoSQL and MongoDB,[http://www.ccs.neu.e](http://www.ccs.neu.edu/home/kathleen/classes/cs3200/20-NoSQLMongoDB.pdf),EN
NOSQL Databases,[http://www.christof-](http://www.christof-strauch.de/nosqldbs),EN
Choosing the Right NOSQL Database,[https://faculty.wash](https://faculty.washington.edu/wlloyd/courses/tcss562/papers/ChoosingTheRightNoSQLDatabaseForTheJob-AQualityAttributeEvaluation.pdf),EN
NoSQL DBs,[https://pdfs.semanti](https://pdfs.semanticscholar.org/773e/9e98d42f395864baecf6e87a9c7ded1f36e6.pdf),EN
An Introduction to NoSQL Databases,[http://pages.di.unip](http://pages.di.unipi.it/turini/Basi%20di%20Dati/Slides/11.NoSQL-slides.pdf),EN
