Project,URL,Language
Physics from Computer Science,[https://www.cs.ox.ac](https://www.cs.ox.ac.uk/files/349/YORKIJUC.pdf),EN
Computing Between Logic and Physics,[http://www.cmls.poly](http://www.cmls.polytechnique.fr/perso/paul/gius-thier-sent.pdf),EN
Computational Physics,[https://farside.ph.u](https://farside.ph.utexas.edu/teaching/329/329.pdf),EN
Comp Physics Book,[https://www.eidos.ic](https://www.eidos.ic.i.u-tokyo.ac.jp/~tau/lecture/computational_physics/docs/computational_physics.pdf),EN
EDX Circuits and Electronics,[https://www.edx.org/](https://www.edx.org/course/circuits-electronics-1-basic-circuit-mitx-6-002-1x-0),EN
How to Learn Electronics,[https://www.build-el](https://www.build-electronic-circuits.com/how-to-learn-electronics/),EN
Learn About Electronics,[http://www.learnabou](http://www.learnabout-electronics.org/),EN
Tutorialspoint Electronic,[https://www.tutorial](https://www.tutorialspoint.com/electronic_circuits/),EN
Electronics Tutorials,[https://www.electron](https://www.electronics-tutorials.ws/),EN
Fundamentals of Electronic,[http://www-mdp.eng.c](http://www-mdp.eng.cam.ac.uk/web/library/enginfo/electrical/hong1.pdf),EN
Basic Electronic,[https://www.marinete](https://www.marinetech.org/files/marine/files/Curriculum/TriggerFish/Electrical/Components%20updated2.pdf),EN
Electronics Tutorial,[https://www.electron](https://www.electronics-tutorials.ws/pdf/basic-electronics-tutorials.pdf),EN
Circuit Symbols,[http://web.gps.calte](http://web.gps.caltech.edu/~als/IRMS/course-materials/lecture-1---electricity/circuit-symbols.pdf),EN
Molecular Electronics,[https://www.cs.cmu.e](https://www.cs.cmu.edu/~seth/papers/mircea-ieee03.pdf),EN
Digital Electronics,[https://www.cl.cam.a](https://www.cl.cam.ac.uk/teaching/0708/DigElec/Digital_Electronics_pdf.pdf),EN
Fundamentals of Digital Electronics,[ftp://200.93.248.41/](ftp://200.93.248.41/pub/manuales/electronic/Engineering%20-%20Fundamentals%20of%20Digital%20Electronics.pdf),EN
Complete Digital Design,[http://ebook.eqbal.a](http://ebook.eqbal.ac.ir/Computers%20-%20Informatin%20Technology/Architecture/McGraw-Hill%20-%20Complete%20Digital%20Design%20-%20A%20Comp%20Guide%20to%20Dig%20Electr%20and%20Comp%20System%20Architect.pdf),EN
Foundations of Analog and Digital,[https://neurophysics](https://neurophysics.ucsd.edu/courses/physics_120/Agarwal%20and%20Lang%20(2005)%20Foundations%20of%20Analog%20and%20Digital.pdf),EN
MIT 6.002,[https://www.youtube.](https://www.youtube.com/watch?v=AfQxyVuLeCs&list=PL9F74AFA03AA06A11),EN
Digital Electronics,[https://www.youtube.](https://www.youtube.com/watch?v=M0mx8S05v60&list=PLBlnK6fEyqRjMH3mWf6kwqiTbT798eAOm),EN
Digital Circuits Systems,[https://www.youtube.](https://www.youtube.com/watch?v=CeD2L6KbtVM&list=PL803563859BF7ED8C),EN
Circuits Physics,[https://www.youtube.](https://www.youtube.com/watch?v=F_vLWkkOETI&list=PLqwfRVlgGdFC7HLoajCVjUk23cqy4QvRL),EN
Electric Circuits,[https://www.youtube.](https://www.youtube.com/watch?v=-Rb9guSEeVE&list=PLkyBCj4JhHt8DFH9QysGWm4h_DOxT93fb),EN
Física Computacional,[https://pt.wikipedia](https://pt.wikipedia.org/wiki/F%C3%ADsica_computacional),PT
Carreira em Física Computacional,[https://www.ifi.unic](https://www.ifi.unicamp.br/gfs/Abner/FM003-A/Maurice.pdf),PT
Física Aplicada,[http://www.posselt.c](http://www.posselt.com.br/graduacao/fisica/Correnteeletrica.pdf),PT
Fundamentos Físicos dos Comp Quânticos,[http://www.infis.ufu](http://www.infis.ufu.br/infis_sys/pdf/MARCO%20ANTONIO%20DOS%20SANTOS.pdf),PT
Eletrônica Digital Básica,[https://repositorio.](https://repositorio.ufba.br/ri/bitstream/ri/13988/1/_Eletronica.pdf),PT
Eletrônica Digital,[http://eletro.g12.br](http://eletro.g12.br/arquivos/materiais/eletronica4.pdf),PT
Apostila Eletrônica Digital,[https://files.comuni](https://files.comunidades.net/mutcom/apostila_completa_de_eletronica_digital..pdf),PT
O Básico,[http://www.newtoncbr](http://www.newtoncbraga.com.br/livros/livro5_ncb_mouser.pdf),PT
Curso de Eletrônica Digital,[https://www.youtube.](https://www.youtube.com/watch?v=i_Y8Tya_qf8&list=PL1IAWKHSkvMFeKzqiWHFLyEfC2Xkto-Kh),PT
Curso Eletrônica,[https://www.youtube.](https://www.youtube.com/watch?v=YdysOHQ0kQA&list=PLFfpdsnO_HS_a423jGW_Jo1nQawtaPCBS),PT
UNIVESP - Circuitos Lógicos,[https://www.youtube.](https://www.youtube.com/watch?v=b7M-vyDRZy8&list=PLxI8Can9yAHeWyA5-3n4TrLZMa1YgaBAS),PT
UNIVESP - Circuitos Elétricos,[https://www.youtube.](https://www.youtube.com/watch?v=9T11Fph2pB8&list=PLxI8Can9yAHd1UnLqOLBQv7KbDq4Zsbax),PT
UNIVESP - Eletrônica Aplicada,[https://www.youtube.](https://www.youtube.com/watch?v=0BosSTan8bI&list=PLxI8Can9yAHevRkQnSgviIgnzCH3Nss_Y),PT
UNIVESP - Microeletrônica,[https://www.youtube.](https://www.youtube.com/watch?v=GkDI74R4wf8&list=PLxI8Can9yAHfCQTGPsvMaMw3nqxgqgcE4),PT
UNIVESP - Eletrônica Digital,[https://www.youtube.](https://www.youtube.com/watch?v=Fe6jf0DE9vs&list=PLxI8Can9yAHeOu5qbUa-Pc4hf2VB1Rw1_),PT
Electronica Digital,[http://www.areatecno](http://www.areatecnologia.com/electronica/electronica-digital.html),ES
La Electronica Digital,[https://www.edu.xunt](https://www.edu.xunta.gal/centros/iesblancoamorculleredo/aulavirtual2/pluginfile.php/20936/mod_resource/content/0/Apuntes/electronica_digital.pdf),ES
Unidad 3 - ED,[http://www.edu.xunta](http://www.edu.xunta.gal/centros/iesfelixmuriel/system/files/Electr%C3%B3nica%20digital.pdf),ES
Guía de Electrónica Digital,[https://www.uniatlan](https://www.uniatlantico.edu.co/uatlantico/pdf/arc_12399.pdf),ES
ED Book,[https://profearias.f](https://profearias.files.wordpress.com/2013/02/carpeta_taller_electronica_digital.pdf),ES
Tutorial de Electrónica,[http://r-luis.xbot.e](http://r-luis.xbot.es/descarga/files/edigital.pdf),ES
Manual de Prácticas de Electrónica,[https://www.itescam.](https://www.itescam.edu.mx/principal/docentes/formatos/7f800ed4ed52e17919710ac735dce7e9.PDF),ES
Fundamentos de Diseño Digital,[http://jagarza.fime.](http://jagarza.fime.uanl.mx/general/notas/FDDSC.pdf),ES
Circuitos y Sistemas Digitales,[http://www.iearoboti](http://www.iearobotics.com/personal/juan/docencia/apuntes-ssdd-0.3.7.pdf),ES
Programiz,[http://www.est-usmba](http://www.est-usmba.ac.ma/benbrahim/ENSA/Electronique%20num%C3%A9rique/semestre1-ELN-Num%C3%A9rique.pdf),FR
Electronique Numérique,[https://www.programi](https://www.programiz.com/c-programming),FR
Introduction à l'electronique,[https://homepages.la](https://homepages.laas.fr/fcaignet/Cours/combinatoire.pdf),FR
Cours d'électronique,[http://bertrand.gran](http://bertrand.granado.free.fr/Licence/UE201/coursbeamerstatic.pdf),FR
Wikibook Électronique,[https://fr.wikibooks](https://fr.wikibooks.org/wiki/%C3%89lectronique_num%C3%A9rique_:_logique),FR
Électronique,[https://www.larmand.](https://www.larmand.fr/fichiers/Ancien_site/enseigne/ressources/techno/bourse%20cours/COURS/Electronique%20numerique%20cabl%C3%A9e.pdf),FR
Livre Électronique,[http://www.gecif.net](http://www.gecif.net/articles/genie_electrique/cours/livre_electronique_numerique.pdf),FR
Applications de l'électronique,[https://homepages.la](https://homepages.laas.fr/fcaignet/Cours/combinatoire_Appli_licencePhy.pdf),FR
Circuits Logiques,[http://www.magoe.net](http://www.magoe.net/magoeCoursElectrNum2015.pdf),FR
Cours d'électronique,[http://fdechassey.fr](http://fdechassey.free.fr/hei/HEI/%5B1%5D_coursElecNum.pdf),FR
Elettronica di Base,[https://digilander.l](https://digilander.libero.it/nick47/index.htm#rife1),IT
Elettronica Digitale,[http://studenti.fisi](http://studenti.fisica.unifi.it/~carla/appunti/2008-9/cap.6.pdf),IT
Corso Elettronica Digitale,[https://www.dei.unip](https://www.dei.unipd.it/~gerosa/ED/downloads/Elettronica%20Digitale.pdf),IT
Lezioni Elettronica Digitale,[http://web.fe.infn.i](http://web.fe.infn.it/~savrie/lectures_1112/digitale_2012_feb_prov.pdf),IT
Le Basi,[http://www.criptonit](http://www.criptonite.org/sez_didattica/materiale/digitale/CAP_1DIG.pdf),IT
ED con Esperimenti,[http://www.introni.i](http://www.introni.it/pdf/Jackson%20-%20Elettronica%20Digitale%20-%20part%201.pdf),IT
Progettazione di un Componente Digitale,[http://unina.stidue.](http://unina.stidue.net/Circuiti%20Integrati%20Digitali/Materiale/Corso%20Di%20Elettronica%20Digitale%20-%20Olivieri.pdf),IT
Locktronics,[https://www.matrixts](https://www.matrixtsl.com/datasheets/LK9392DE-82-1.pdf),DE
Digital Systems,[https://nptel.ac.in/](https://nptel.ac.in/courses/106108099/Digital%20Systems.pdf),EN
Elektronik für Physiker,[https://mathphys.fsk](https://mathphys.fsk.uni-heidelberg.de/w/wp-content/uploads/skripte/elektronik_straumann.pdf),DE
Simulating Physics,[https://people.eecs.](https://people.eecs.berkeley.edu/~christos/classics/Feynman.pdf),EN
Go-Radio,[http://go-radio.ru/c](http://go-radio.ru/cifrovaya-elektronika.html),RU
Skhemotekhniku,[http://kpe.hww.ru/BO](http://kpe.hww.ru/BOOKS/Vvedenie_v_tcifrovuiu_skhemotekhniku_(Novikov).pdf),RU
Book of Electronics,[http://gu-unpk.ru/pu](http://gu-unpk.ru/public/file/employee/1159/Eremenko_elektrotexnika_sxemotehnikai.pdf),RU
Basics,[https://books.ifmo.r](https://books.ifmo.ru/file/pdf/206.pdf),RU
Digital Design,[http://easyelectroni](http://easyelectronics.ru/files/Book/digital-design-and-computer-architecture-russian-translation.pdf),RU
Digital Electronics,[https://www.bsuir.by](https://www.bsuir.by/m/12_100229_1_85482.pdf),RU
