Project,URL,Language
Regular expression,[https://en.wikipedia](https://en.wikipedia.org/wiki/Regular_expression),EN
Regular-expressions.info,[https://www.regular-](https://www.regular-expressions.info/),EN
Mozilla,[https://developer.mo](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Regular_Expressions),EN
Regexr,[https://regexr.com/](https://regexr.com/),EN
Cheat Sheet,[https://medium.com/f](https://medium.com/factory-mind/regex-tutorial-a-simple-cheatsheet-by-examples-649dc1c3f285),EN
RegexBuddy,[https://www.regexbud](https://www.regexbuddy.com/regex.html),EN
Javascript.info,[https://javascript.i](https://javascript.info/regular-expressions),EN
Microsoft Quick Reference,[https://docs.microso](https://docs.microsoft.com/en-us/dotnet/standard/base-types/regular-expression-language-quick-reference),EN
Regexone,[https://regexone.com](https://regexone.com/),EN
Python RE,[https://docs.python.](https://docs.python.org/3/library/re.html),EN
Eloquent Javascript,[https://eloquentjava](https://eloquentjavascript.net/09_regexp.html),EN
W3Schools,[https://www.w3school](https://www.w3schools.com/jsref/jsref_obj_regexp.asp),EN
Opengroup,[https://pubs.opengro](https://pubs.opengroup.org/onlinepubs/9699919799/basedefs/V1_chap09.html),EN
RE Overview,[https://www.gnu.org/](https://www.gnu.org/software/sed/manual/html_node/Regular-Expressions.html),EN
Speakingjs,[http://speakingjs.co](http://speakingjs.com/es5/ch19.html),EN
Fon.hum,[http://www.fon.hum.u](http://www.fon.hum.uva.nl/praat/manual/Regular_expressions.html),EN
Zytrax,[http://www.zytrax.co](http://www.zytrax.com/tech/web/regex.htm),EN
Freecodecamp,[https://learn.freeco](https://learn.freecodecamp.org/javascript-algorithms-and-data-structures/regular-expressions/),EN
Regex Cheatsheet,[https://www.rstudio.](https://www.rstudio.com/wp-content/uploads/2016/09/RegExCheatsheet.pdf),EN
Dev MySQL,[https://dev.mysql.co](https://dev.mysql.com/doc/refman/8.0/en/regexp.html),EN
Racket-Lang,[https://docs.racket-](https://docs.racket-lang.org/reference/regexp.html),EN
Bash Beginners Guide,[http://tldp.org/LDP/](http://tldp.org/LDP/Bash-Beginners-Guide/html/sect_04_01.html),EN
Ruby RE,[http://rubylearning.](http://rubylearning.com/satishtalim/ruby_regular_expressions.html),EN
Java RE,[https://www.tutorial](https://www.tutorialspoint.com/java/java_regular_expressions.htm),EN
Regex101,[https://regex101.com](https://regex101.com/),EN
Ehchua,[http://www.ntu.edu.s](http://www.ntu.edu.sg/home/ehchua/programming/howto/regexe.html),EN
Emacswiki,[https://www.emacswik](https://www.emacswiki.org/emacs/RegularExpression),EN
