Project,URL,Language
WebRoot,[https://www.webroot.](https://www.webroot.com/us/en/resources/tips-articles/what-is-social-engineering),EN
Wikipedia,[https://en.wikipedia](https://en.wikipedia.org/wiki/Social_engineering_(security)),EN
Kaspersky,[https://usa.kaspersk](https://usa.kaspersky.com/resource-center/definitions/social-engineering),EN
Knowbe4,[https://www.knowbe4.](https://www.knowbe4.com/what-is-social-engineering/),EN
Digital Guardian,[https://digitalguard](https://digitalguardian.com/blog/what-social-engineering-defining-and-avoiding-common-social-engineering-threats),EN
Null-Byte,[https://null-byte.wo](https://null-byte.wonderhowto.com/how-to/social-engineering/),EN
Tutorialspoint,[https://www.tutorial](https://www.tutorialspoint.com/ethical_hacking/ethical_hacking_social_engineering.htm),EN
Guru 99,[https://www.guru99.c](https://www.guru99.com/how-to-hack-using-social-enginering.html),EN
Rapid7,[https://metasploit.h](https://metasploit.help.rapid7.com/docs/best-practices-for-social-engineering),EN
Break the Security,[http://breakthesecur](http://breakthesecurity.cysecurity.org/category/social-engineering),EN
Xeushack,[https://xeushack.com](https://xeushack.com/introduction-to-social-engineering/),EN
Awesome Social Engineering,[https://github.com/v](https://github.com/v2-dev/awesome-social-engineering),EN
Introduction to SE,[https://www.ncsc.gov](https://www.ncsc.gov.uk/content/files/protected_files/guidance_files/Introduction-to-social-engineering.pdf),EN
The Art of Deception,[http://sbisc.ut.ac.i](http://sbisc.ut.ac.ir/wp-content/uploads/2015/10/mitnick.pdf),EN
SE Presentation,[https://www.vasco.co](https://www.vasco.com/images/Social-engineering_tcm42-46728.pdf),EN
The Human Factor,[https://www.exploit-](https://www.exploit-db.com/docs/english/18135-social-engineering---the-human-factor.pdf),EN
Open Security SE,[http://opensecurityt](http://opensecuritytraining.info/HTID_files/Day01-Social.Engineering.pdf),EN
OWASP,[https://www.owasp.or](https://www.owasp.org/images/5/54/Presentation_Social_Engineering.pdf),EN
SE Introduction,[https://www.casact.o](https://www.casact.org/education/spring/2016/presentations/G-4-Social%20Engineering.pdf),EN
A Wolf in Sheep's Clothing,[https://www.isaca.or](https://www.isaca.org/chapters2/victoria/events/Documents/Presentations/2016-05-18%20Roberto%20Salgato-A%20Wolf%20in%20Sheep%20Clothing.pdf),EN
Defense and Popularity of SE,[https://brage.bibsys](https://brage.bibsys.no/xmlui/bitstream/handle/11250/144040/EKHenningsen.pdf),EN
SE Based Attacks,[https://pdfs.semanti](https://pdfs.semanticscholar.org/presentation/a84f/ee407e55090bc62f0d638175365a481cc9a9.pdf),EN
Técnicas de Engenharia Social,[http://cio.com.br/te](http://cio.com.br/tecnologia/2017/04/09/conheca-seis-das-tecnicas-de-engenharia-social-muito-eficazes/),PT
Conceitos,[https://www.gestaode](https://www.gestaodesegurancaprivada.com.br/engenharia-social-o-que-e-conceitos/),PT
Guia do Hacker,[https://pt.wikibooks](https://pt.wikibooks.org/wiki/Guia_do_hacker/Engenharia_social),PT
Engenharia Social,[https://www.enq.ufrg](https://www.enq.ufrgs.br/files/Engenharia%20Social.pdf),PT
Universidade FUMEC,[http://www.fumec.br/](http://www.fumec.br/revistas/sigc/article/viewFile/3733/2031),PT
Técnicas,[https://securityinfo](https://securityinformationnews.files.wordpress.com/2014/02/tecnicas_de_engenharia_social.pdf),PT
Ataques de ES,[https://repositorio.](https://repositorio.ucp.pt/bitstream/10400.14/15690/1/Tese%20de%20Mestrado%20-%20Engenharia%20Social.pdf),PT
Conceitos e Vertentes,[http://memoria.rnp.b](http://memoria.rnp.br/_arquivo/disi2005/salgado-bruno_engenharia-social.pdf),PT
Bradesco Segurança,[https://www.bradesco](https://www.bradescoseguranca.com.br/assets/pf/pdf/guias/cartilha-engenharia-social.pdf),PT
Gcfglobal,[https://edu.gcfgloba](https://edu.gcfglobal.org/es/seguridad-en-internet/la-ingenieria-social/1/),ES
Ecured,[https://www.ecured.c](https://www.ecured.cu/Ingenier%C3%ADa_social),ES
Revista Seguridad,[https://revista.segu](https://revista.seguridad.unam.mx/numero-10/ingenier%C3%AD-social-corrompiendo-la-mente-humana),ES
Pablo Yglesias,[https://www.pabloygl](https://www.pabloyglesias.com/mundohacker-ingenieria-social/),ES
Gb-Advisors,[http://www.gb-adviso](http://www.gb-advisors.com/es/riesgos-y-amenazas-de-la-ingenieria-social/),ES
Ingeniería Social,[https://www.owasp.or](https://www.owasp.org/images/2/27/02_INGENIER%C3%8DA_SOCIAL.pdf),ES
El Ataque Silencioso,[http://www.redicces.](http://www.redicces.org.sv/jspui/bitstream/10972/2910/1/Articulo6.pdf),ES
Metodologías,[http://openaccess.uo](http://openaccess.uoc.edu/webapps/o2/bitstream/10609/81255/6/jrodriguezrinTFM0618memoria.pdf),ES
Estudio de Metodologías,[http://openaccess.uo](http://openaccess.uoc.edu/webapps/o2/bitstream/10609/81271/6/rmarinjTFM0618memoria.pdf),ES
Ingeniería Social,[https://www.tlm.unav](https://www.tlm.unavarra.es/pluginfile.php/11615/mod_resource/content/0/clases/11_SSI-socialeng.pdf),ES
El Arte del Engano,[http://www.seaceptan](http://www.seaceptanideas.com/biblio/El_Arte_del_Enga%C3%B1o.pdf),ES
Cybercamp,[https://cybercamp.es](https://cybercamp.es/cybercamp2014/attachments/multimedia/CyberCamp_IngenieriaSocial.pdf),ES
Università di Bologna,[https://amslaurea.un](https://amslaurea.unibo.it/2701/1/melis_andrea_tesi.pdf),IT
IngSoc: il Fattore Umano,[https://under12oot.n](https://under12oot.noblogs.org/files/2014/02/IngSoc.pdf),IT
Ingegneria Sociale e Psicologia,[http://www.greatstor](http://www.greatstoriesofthebible.net/ingegneria_sociale_e_psicologia.pdf),IT
Ingegneria Sociale,[http://www.erick-sim](http://www.erick-simionato.it/documenti/Ingegneria%20Sociale.pdf),IT
L'Ingegneria Sociale,[https://culturamblog](https://culturamblog.files.wordpress.com/2015/04/tesina_ingegneria_sociale_completa2.pdf),IT
Hacktips,[https://hacktips.it/](https://hacktips.it/ingegneria-sociale/),IT
Xakep,[https://xakep.ru/201](https://xakep.ru/2018/05/17/social-engineering/),RU
The Brain Hack,[https://medium.com/@](https://medium.com/@Emisare/socialnaya-ingeneria-9f16e0ba7fa5),RU
Anti-malware,[https://www.anti-mal](https://www.anti-malware.ru/threats/social-engineering),RU
Noosfera,[http://noosfera.su/s](http://noosfera.su/social-engineering/),RU
Defcon 21,[https://www.youtube.](https://www.youtube.com/watch?v=1kkOKvPrdZ4),EN
SE Explained,[https://www.youtube.](https://www.youtube.com/watch?v=r3qDA8AUy8U),EN
Human Resources SE,[https://www.youtube.](https://www.youtube.com/watch?v=1pCigAw2-0g),EN
