Project,URL,Language
Awesome Web Hacking,[https://github.com/i](https://github.com/infoslack/awesome-web-hacking),EN
Darknet,[https://www.darknet.](https://www.darknet.org.uk/category/web-hacking/),EN
Guru99,[https://www.guru99.c](https://www.guru99.com/how-to-hack-website.html),EN
Null-byte,[https://null-byte.wo](https://null-byte.wonderhowto.com/how-to/hacking-web-apps/),EN
Acunetix,[https://www.acunetix](https://www.acunetix.com/websitesecurity/website-hacking/),EN
Google-Gruyere,[https://google-gruye](https://google-gruyere.appspot.com/),EN
Hackthissite,[https://www.hackthis](https://www.hackthissite.org/),EN
How they Hack your Website,[https://www.cmswire.](https://www.cmswire.com/web-cms/how-they-hack-your-website-the-ultimate-updated-overview-of-common-techniques/),EN
Hacking Tutorials,[https://www.hackingt](https://www.hackingtutorials.org/category/web-application-hacking/),EN
Grey Campus,[https://www.greycamp](https://www.greycampus.com/opencampus/ethical-hacking/web-application-and-its-types-of-attacks),EN
Blackhat Presentation,[https://www.blackhat](https://www.blackhat.com/presentations/bh-asia-02/bh-asia-02-shah.pdf),EN
The Basics of Web Hacking,[https://lira.epac.to](https://lira.epac.to/DOCS-TECH/Hacking/The%20Basics%20of%20Web%20Hacking%20-%20Tools%20and%20Techniques%20to%20Attack%20the%20Web(2013).pdf),EN
Hacking Exposed,[https://cdn.ttgtmedi](https://cdn.ttgtmedia.com/searchSecurityChannel/downloads/Hacking_Exposed_chapter_11.pdf),EN
Web Hacking 101,[http://index-of.es/M](http://index-of.es/Miscellanous/LIVRES/web-hacking-101.pdf),EN
Tactical Web App Pentesting,[https://www.gironsec](https://www.gironsec.com/WebHacking101.pdf),EN
Web Vulnerability Scanners,[https://arxiv.org/pd](https://arxiv.org/pdf/1706.08017.pdf),EN
501 Website Secrets,[https://lira.epac.to](https://lira.epac.to/DOCS-TECH/Hacking/501%20Website%20Hacking%20Secrets.pdf),EN
LiveOverFlow Web Hacking,[https://www.youtube.](https://www.youtube.com/watch?v=jmgsgjPn1vs&list=PLhixgUqwRTjx2BmNF5-GddyqZcizwLLGP),EN
Learn Burp Suite,[https://www.youtube.](https://www.youtube.com/watch?v=AVzC7ETqpDo&list=PLq9n8iqQJFDrwFe9AEDBlR1uSHEN7egQA),EN
OWASP Top 10,[https://www.youtube.](https://www.youtube.com/watch?v=rWHvp7rUka8&list=PLyqga7AXMtPPuibxp1N0TdyDrKwP9H_jD),EN
Anatomy of a Web App,[https://www.cgisecur](https://www.cgisecurity.com/lib/Web_Server.pdf),EN
Microsoft Architecture Guide,[http://cis.msjc.edu/](http://cis.msjc.edu/CSIS116B/Resources/WebArchitecturePocketGuide.pdf),EN
Web App Architectures,[http://www.cs.toront](http://www.cs.toronto.edu/~mashiyat/csc309/Lectures/Web%20App%20Architectures.pdf),EN
Web Architectures,[https://www.sti-inns](https://www.sti-innsbruck.at/sites/default/files/courses/WE-04-Architectures.pdf),EN
Overview and Architectures,[http://web.cse.ohio-](http://web.cse.ohio-state.edu/~joseph.97/courses/3901/lectures/lecture01.pdf),EN
Vulnerabilidades en Aplicaciones Web,[https://www.youtube.](https://www.youtube.com/watch?v=Imnzode1ptk),ES
Hacking de Aplicaciones Web,[https://ucys.ugr.es/](https://ucys.ugr.es/download/taller4/WebHacking.pdf),ES
Ataques a Aplicaciones Web,[https://www.exabytei](https://www.exabyteinformatica.com/uoc/Informatica/Seguridad_en_bases_de_datos/Seguridad_en_bases_de_datos_(Modulo_2).pdf),ES
Taller de Hacking Web,[https://cybercamp.es](https://cybercamp.es/cybercamp2014/attachments/multimedia/CyberCampHackingWeb.pdf),ES
Ethical Hacking for Web App,[http://www.revistasb](http://www.revistasbolivianas.org.bo/pdf/rits/n8/n8a24.pdf),ES
Seguridad en Aplicaciones Web,[https://www.rediris.](https://www.rediris.es/cert/doc/reuniones/fs2008/archivo/RedIRIS_VI_Seguridad_en_aplicaciones_Web_v1.0_RaulSiles.pdf),ES
Hacking desde Cero,[https://radiosycultu](https://radiosyculturalibre.com.ar/compartir/biblioteca/INFOSEC/Hacking%20desde%20Cero.pdf),ES
Hacking con Google,[https://www.imaginar](https://www.imaginar.org/sites/google/adicional/Hacking%20con%20Google.pdf),ES
Segurança de Aplicações Web,[https://medium.com/l](https://medium.com/labcodes/seguran%C3%A7a-de-aplica%C3%A7%C3%B5es-web-101-c425f49e4941),PT
Práticas de Segurança Web,[https://www.gocache.](https://www.gocache.com.br/en/seguranca/seguranca-em-aplicacoes-web/),PT
Mitigando os Riscos,[https://www.cert.br/](https://www.cert.br/docs/palestras/certbr-webbr2014.pdf),PT
Segurança das Aplicações Web,[https://www.risco.or](https://www.risco.org.br/risco_operacional/Firewall_de_Aplicacao.pdf),PT
Testes de Segurança,[https://www.risco.or](https://www.risco.org.br/risco_operacional/Firewall_de_Aplicacao.pdf),PT
Exemplos e Casos Práticos em PHP,[https://web.ist.utl.](https://web.ist.utl.pt/nuno.lopes/pres/seguranca-web-apps-php.pdf),PT
Estudo de Vulnerabilidades,[http://recipp.ipp.pt](http://recipp.ipp.pt/bitstream/10400.22/8224/1/DM_NunoMonteiro_2015_MEI.pdf),PT
Segurança na Web,[https://www.owasp.or](https://www.owasp.org/images/1/16/Seguranca_na_web_-_uma_janela_de_oportunidades.pdf),PT
MIT 6.858,[https://www.youtube.](https://www.youtube.com/watch?v=WlmKwIe9z1Q),EN
Web Hacking Prático,[https://www.youtube.](https://www.youtube.com/watch?v=5Ve74PchxR0),PT
Teste de Vulnerabilidades em Aplicações Web,[https://cepein.feman](https://cepein.femanet.com.br/BDigital/arqTccs/1211330211.pdf),PT
Pen-test de Aplicações Web,[ftp://ftp.registro.b](ftp://ftp.registro.br/pub/gts/gts14/08-Pen-Test-web.pdf),PT
Segurança no Desenvolvimento de Aplicações Web,[http://revistapensar](http://revistapensar.com.br/tecnologia/pasta_upload/artigos/a127.pdf),PT
Segurança na Web Fatec-SP,[http://www.fatecsp.b](http://www.fatecsp.br/dti/tcc/tcc0043.pdf),PT
Análise de Vulnerabilidades de Segurança,[https://repositorio.](https://repositorio.ufu.br/bitstream/123456789/20400/6/AnaliseVulnerabilidadesSeguranc%CC%A7a.pdf),PT
Mozilla Web Security,[https://developer.mo](https://developer.mozilla.org/en-US/docs/Web/Security),EN
Applications Web et Securite,[http://www.mathrice.](http://www.mathrice.org/ecole/support/Applications-Web-securite.pdf),FR
OpenClassRooms,[https://openclassroo](https://openclassrooms.com/fr/courses/2091901-protegez-vous-efficacement-contre-les-failles-web),FR
Failles de sécurité des applications Web,[https://web.developp](https://web.developpez.com/tutoriels/web/failles-securite-application-web/),FR
Failles de sécurité,[https://aresu.dsi.cn](https://aresu.dsi.cnrs.fr/IMG/pdf/Presentation_des_failles_de_securite.pdf),FR
Sécurité des applications Web,[https://clusif.fr/pu](https://clusif.fr/publications/securite-des-applications-web/),FR
La Sécurité Informatique,[http://ylescop.free.](http://ylescop.free.fr/mrim/cours/securite.pdf),FR
Sicurezza Web,[http://www-db.disi.u](http://www-db.disi.unibo.it/courses/RCPG/sicurezza.pdf),italiano
Sicurezza Web e Privacy,[http://www.hackerhig](http://www.hackerhighschool.org/lessons/HHS_it10_Sicurezza_Web_e_Privacy.pdf),italiano
PHP Security Manual,[https://secure.php.n](https://secure.php.net/manual/en/security.php),EN
WebSiteSec,[https://crypto.stanf](https://crypto.stanford.edu/cs155old/cs155-spring11/lectures/10-web-site-sec.pdf),EN
Cybrary.it,[https://www.cybrary.](https://www.cybrary.it/course/web-application-pen-testing/),EN
Web App Pentesting Cheat Sheet,[https://jdow.io/blog](https://jdow.io/blog/2018/03/18/web-application-penetration-testing-methodology/),EN
OWASP,[https://www.owasp.or](https://www.owasp.org/index.php/Web_Application_Penetration_Testing),EN
Web App Security Testing,[https://www.exploit-](https://www.exploit-db.com/docs/english/44319-web-application-security-testing.pdf),EN
